Constituency,District Names,Factory Count,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr,Avg ADI
ADILABAD,adilabad,2,TELANGANA,ST,16.4,0,0,1,0,1,0,150000000,0,0,2,0,13
AGRA,agra,16,UTTAR PRADESH,SC,28.1,1,1,0,0,0,0,1090000000,1,0,17,3,12
AHMEDABAD EAST,ahmedabad,175,GUJARAT,GEN,33.1,0,1,1,0,0,0,90030000000,1,0,444,36,18
AHMEDABAD WEST,ahmedabad,182,GUJARAT,SC,33.2,0,1,1,0,0,0,88400000000,1,0,357,34,18
AHMEDNAGAR,ahmednagar,21,MAHARASHTRA,GEN,19.7,0,1,1,0,0,0,1370000000,1,0,36,0,13
AJMER,ajmer,13,RAJASTHAN,GEN,14.9,1,1,1,0,0,1,45260000000,1,0,155,15,17
AKBARPUR,,,UTTAR PRADESH,GEN,28.7,0,1,0,0,0,0,4440000000,1,0,22,3,14
AKOLA,akola,5,MAHARASHTRA,GEN,20.8,0,1,1,0,0,0,80000000,1,0,6,0,12
ALAPPUZHA,alappuzha,10,KERALA,GEN,1.9,0,0,1,0,0,0,3480000000,1,0,10,1,15
ALATHUR,,,KERALA,SC,4,0,0,0,0,0,0,6860000000,1,1,20,2,16
ALIGARH,aligarh,9,UTTAR PRADESH,GEN,26.9,0,1,0,0,0,0,800000000,1,0,8,0,13
ALIPURDUARS,alipurduar,2,WEST BENGAL,ST,1.7,0,0,1,0,0,0,950000000,1,0,27,0,10
ALLAHABAD,allahabad,275,UTTAR PRADESH,GEN,7,0,1,0,0,0,0,630000000,1,0,0,0,12
ALMORA,,,UTTARAKHAND,SC,14.6,0,1,0,0,0,0,200000000,1,0,2,0,15
ALWAR,alwar,101,RAJASTHAN,GEN,26.7,0,1,1,0,0,0,9160000000,1,0,109,5,13
AMALAPURAM,amalapuram,1,ANDHRA PRADESH,SC,10.8,0,1,1,0,0,0,2350000000,1,0,357,3,15
AMBALA,ambala,1,HARYANA,SC,27.9,0,1,1,0,0,0,2030000000,1,0,36,0,18
AMBEDKAR NAGAR,ambedkar nagar,8,UTTAR PRADESH,GEN,13.5,0,1,0,0,0,0,1840000000,1,0,8,0,11
AMETHI,amethi,1,UTTAR PRADESH,GEN,12.3,0,0,0,0,0,0,5060000000,1,1,19,1,10
AMRAVATI,amravati,7,MAHARASHTRA,SC,13.7,0,1,1,0,0,0,1300000000,1,0,7,0,17
AMRELI,amreli,5,GUJARAT,GEN,19.3,0,1,1,0,0,0,2990000000,1,0,34,2,16
AMRITSAR,amritsar,5,PUNJAB,GEN,10.2,0,0,0,0,0,0,1320000000,1,1,5,0,17
AMROHA,amroha,6,UTTAR PRADESH,GEN,14.4,0,1,0,1,0,0,840000000,1,0,139,4,13
ANAKAPALLE,,,ANDHRA PRADESH,GEN,4.2,0,1,1,0,1,0,30420000000,0,0,114,6,16
ANAND,anand,23,GUJARAT,GEN,6.5,0,1,1,1,0,1,3070000000,1,0,23,4,15
ANANDPUR SAHIB,,,PUNJAB,GEN,2.2,0,1,1,0,0,0,3300000000,1,0,147,1,18
ANANTAPUR,anantapur,46,ANDHRA PRADESH,GEN,5.1,0,1,1,0,0,0,19390000000,1,0,46,0,14
ANANTNAG,,,JAMMU AND KASHMIR,GEN,17.4,0,0,0,0,0,0,1030000000,1,1,0,0,13
ANDAMAN AND NICOBAR,,,ANDAMAN AND NICOBAR,GEN,4.1,0,1,0,0,0,0,0,1,0,10,0,16
AONLA,,,UTTAR PRADESH,GEN,13.9,0,1,0,0,0,0,250000000,1,0,21,0,9
ARAKKONAM,,,TAMIL NADU,GEN,22.1,0,0,1,0,0,0,216100000000,1,0,161,2,18
ARAKU,,,ANDHRA PRADESH,ST,10,0,0,0,0,1,0,38740000000,0,1,518,11,14
ARAMBAG,,,WEST BENGAL,SC,25.5,0,0,1,0,0,0,760000000,1,0,57,0,16
ARANI,,,TAMIL NADU,GEN,22.2,0,0,1,0,0,0,350000000,1,0,19,0,14
ARARIA,,,BIHAR,GEN,15,0,0,0,0,1,0,0,0,1,0,0,8
