census_code,id,dist_name,id(ours),dist_name(ors),ASSET_2019,BF_2019,CHH_2019,FC_2019,MSL_2019,MSW_2019,Aggregate_2019,ADI_Level,seperated from
1,101,Kupwara,1,Kupwara,2,1,1,1,3,1,9,1,
2,102,Budgam,2,Budgam,3,1,2,1,3,3,13,2,
3,103,Leh,3,Leh(Ladakh),3,2,3,3,3,1,15,3,
4,104,Kargil,4,Kargil,2,3,3,3,3,3,17,3,
5,105,Poonch,5,punch,2,1,1,1,3,2,10,1,
6,106,Rajouri,6,Rajouri,2,1,2,1,3,1,10,1,
7,107,Kathua,7,Kathua,3,2,3,1,3,3,15,3,
8,108,Baramulla,8,Baramula,3,1,2,1,3,3,13,2,Bandipore
10,110,Srinagar,10,Srinagar,3,2,3,3,3,3,17,3,Ganderbal
12,112,Pulwama,12,Pulwama,3,2,3,1,3,3,15,3,
14,114,Anantnag,14,Anantnag,3,1,2,1,3,3,13,2,"Kulgam, Shupiyan"
16,116,Doda,16,Doda,1,2,2,1,3,3,12,2,"Ramban, Kishtwar"
19,119,Udhampur,19,Udhampur,3,3,3,1,3,1,14,2,Reasi
21,121,Jammu,21,Jammu,3,3,3,3,3,3,18,3,Samba
23,201,Chamba,23,Chamba,3,2,3,1,3,3,15,3,
24,202,Kangra,24,Kangra,3,3,3,3,3,3,18,3,
25,203,Lahaul And Spiti,25,Lahul & Spiti,3,3,3,1,3,3,16,3,
26,204,Kullu,26,Kullu,3,2,3,1,3,3,15,3,
27,205,Mandi,27,Mandi,3,3,3,1,3,3,16,3,
28,206,Hamirpur,28,Hamirpur,3,3,3,1,3,3,16,3,
29,207,Una,29,Una,3,3,3,1,3,3,16,3,
30,208,Bilaspur,30,Bilaspur,3,3,3,3,3,3,18,3,
31,209,Solan,31,Solan,3,3,3,3,3,3,18,3,
32,210,Sirmaur,32,Sirmaur,3,3,3,1,3,3,16,3,
33,211,Shimla,33,Shimla,3,3,3,3,3,3,18,3,
34,212,Kinnaur,34,Kinnaur,3,3,3,3,3,3,18,3,
35,301,Gurdaspur,35,Gurdaspur,3,2,3,3,3,3,17,3,
36,302,Kapurthala,36,Kapurthala ,3,3,3,3,3,3,18,3,
37,303,Jalandhar,37,Jalandhar,3,3,3,3,3,3,18,3,
38,304,Hoshiarpur,38,Hoshiarpur,3,3,3,3,3,3,18,3,
39,305,Shaheed Bhagat Singh Nagar,39,Shahid Bhagat Singh Nagar ,3,3,3,3,3,3,18,3,
40,306,Fatehgarh Sahib,40,Fatehgarh Sahib,3,3,3,3,3,3,18,3,
41,307,Ludhiana,41,Ludhiana,3,3,3,3,3,3,18,3,
42,308,Moga,42,Moga,3,2,2,2,3,2,14,2,
43,309,Ferozepur,43,Firozpur,3,2,2,2,3,2,14,2,
44,310,Sri Muktsar Sahib,44,Muktsar,3,2,1,3,3,3,15,3,
45,311,Faridkot,45,Faridkot,3,3,3,3,3,3,18,3,
46,312,Bathinda,46,Bathinda,3,2,2,3,3,3,16,3,
47,313,Mansa,47,Mansa,3,2,2,2,3,2,14,2,
48,314,Patiala,48,Patiala,3,3,2,3,3,3,17,3,Sahibzada Ajit Singh Nagar
49,315,Amritsar,49,Amritsar,3,3,2,3,3,3,17,3,Tarn Taran
51,317,Rupnagar,51,Rupnagar,3,3,3,3,3,3,18,3,
53,319,Sangrur,53,Sangrur,3,2,2,3,3,2,15,3,Barnala
55,401,Chandigarh,55,Chandigarh,3,3,3,3,3,3,18,3,
56,501,Uttarkashi,56,Uttarkashi,3,1,3,1,3,3,14,2,
57,502,Chamoli,57,Chamoli,3,2,3,1,3,3,15,3,
58,503,Rudraprayag,58,Rudraprayag,3,2,3,1,3,3,15,3,
59,504,Tehri Garhwal,59,Tehri Garhwal,3,2,3,1,3,3,15,3,
60,505,Dehradun,60,Dehradun,3,3,3,3,3,3,18,3,
61,506,Pauri Garhwal,61, Garhwal,3,2,3,1,3,3,15,3,
62,507,Pithoragarh,62,Pithoragarh,3,2,3,1,3,3,15,3,
63,508,Bageshwar,63,Bageshwar,3,2,2,1,3,3,14,2,
64,509,Almora,64,Almora,3,2,3,1,3,3,15,3,
65,510,Champawat,65,Champawat,3,3,3,1,3,3,16,3,
66,511,Nainital,66,Nainital,3,3,3,3,3,3,18,3,
67,512,Udham Singh Nagar,67,Udham Singh Nagar,3,2,2,1,3,2,13,2,
68,513,Haridwar,68,Hardwar,3,3,2,3,3,3,17,3,
69,601,Panchkula,69,Panchkula,3,3,3,3,3,3,18,3,
70,602,Ambala,70,Ambala,3,3,3,3,3,3,18,3,
71,603,Yamuna Nagar,71,Yamunanagar,3,3,2,3,3,3,17,3,
72,604,Kurukshetra,72,Kurukshetra,3,3,3,3,3,3,18,3,
73,605,Kaithal,73,Kaithal,3,2,2,2,3,3,15,3,
74,606,Karnal,74,Karnal,3,2,2,2,3,3,15,3,
75,607,Panipat,75,Panipat,3,3,3,3,3,3,18,3,
76,608,Sonepat,76,Sonipat,3,3,3,3,3,3,18,3,
77,609,Jind,77,Jind,3,2,2,2,3,3,15,3,
78,610,Fatehabad,78,Fatehabad,3,2,2,2,3,3,15,3,
79,611,Sirsa,79,Sirsa,3,3,2,2,3,3,16,3,
80,612,Hisar,80,Hisar,3,2,2,2,3,3,15,3,
81,613,Bhiwani,81,Bhiwani,3,2,3,2,3,3,16,3,
82,614,Rohtak,82,Rohtak,3,3,3,3,3,3,18,3,
83,615,Jhajjar,83,Jhajjar,3,3,2,3,3,3,17,3,
84,616,Mahendragarh,84,Mahendragarh,3,3,3,2,3,3,17,3,
85,617,Rewari,85,Rewari,3,3,3,3,3,3,18,3,
86,618,Gurgaon,86,Gurgaon,3,3,3,3,3,3,18,3,Mewat 
88,620,Faridabad,88,Faridabad,3,3,3,3,3,3,18,3,Palwal 
90,701,North West  Delhi,90,North West,3,3,3,3,3,3,18,3,
91,702,North Delhi,91,North,3,3,3,3,3,3,18,3,
92,703,North East  Delhi,92,North East,3,3,3,3,3,3,18,3,
93,705,Delhi,93,east delhi,3,3,3,3,3,3,18,3,
94,,,,,3,3,3,3,3,3,18,3,
95,706,Central Delhi,95,Central,3,3,3,3,3,3,18,3,
96,707,West Delhi,96,West,3,3,3,3,3,3,18,3,
97,708,South West  Delhi,97,South West,3,3,3,3,3,3,18,3,
98,709,South Delhi,98,South Delhi,3,3,3,3,3,3,18,3,
99,801,Sri Ganganagar,99,Sri Ganganagar,3,3,3,3,3,3,18,3,
100,802,Hanumangarh,100,Hanumangarh ,3,2,3,2,3,3,16,3,
101,803,Bikaner,101,Bikaner,3,3,2,1,2,3,14,2,
102,804,Churu,102,Churu ,3,3,2,1,3,3,15,3,
103,805,Jhunjhunu,103,Jhunjhunun,3,3,3,1,3,3,16,3,
104,806,Alwar,104,Alwar,3,1,2,2,3,2,13,2,
105,807,Bharatpur,105,Bharatpur ,3,1,3,2,2,2,13,2,
106,808,Dhaulpur,106,Dhaulpur,3,1,2,2,3,2,13,2,
