city/ town/ tehsil,district,constituency,No of factories
adilabad,adilabad,adilabad,2
agra,agra,agra,16
ahmedabad,ahmedabad,ahmedabad east,175
ahmedabad,ahmedabad,ahmedabad west,182
moraiya,ahmedabad,ahmedabad west,4
vastrapur lake,ahmedabad,ahmedabad west,1
ahmednagar,ahmednagar,ahmednagar,21
ajmer,ajmer,ajmer,13
nasirabad,ajmer,ajmer,1
akola,akola,akola,5
alappuzha,alappuzha,alappuzha,10
aligarh,aligarh,aligarh,9
alipurduar,alipurduar,alipurduar,2
allahabad,allahabad,allahabad,275
champawat,champawat,almora,1
pithoragarh,pithoragarh,almora,1
alwar,alwar,alwar,101
behror,alwar,alwar,1
bhiwadi,alwar,alwar,7
pathredi,alwar,alwar,1
amalapuram,amalapuram,amalapuram,1
east godavari,east godavari,amalapuram,356
ambala,ambala,ambala,1
panchkula,panchkula,ambala,33
yamuna nagar,yamuna nagar,ambala,10
ambedkar nagar,ambedkar nagar,ambedkar nagar,8
amethi,amethi,amethi,1
amravati,amravati,amravati,7
amreli,amreli,amreli,5
babarkot,amreli,amreli,7
amritsar,amritsar,amritsar,5
amroha,amroha,amroha,6
ravikamatham,vishakhapatnam,ANAKAPALLE,1
anand,anand,anand,23
kurali,Sahibzada Ajit Singh Nagar,anandpur sahib,3
mahilpur,Hoshiarpur,anandpur sahib,1
mohali,Sahibzada Ajit Singh Nagar,anandpur sahib,2
rupnagar,rupnagar (PB),anandpur sahib,92
sahibzada ajit singh nagar,sahibzada ajit singh nagar,anandpur sahib,23
anantapur,anantapur,anantapur,46
south andaman,south andaman,ANDAMAN AND NICOBAR,10
palakonda,srikakulam,araku,1
naharlagun,papum pare,arunachal west,2
asansol,asansol,asansol,6
ganjam,ganjam,aska,7
aurangabad,Aurangabad (BR),Aurangabad (BR),0
aurangabad,Aurangabad (MH),Aurangabad (MH),125
karbi anglong,karbi anglong,autnomous district,2
badaun,badaun,badaun,5
bahraich,bahraich,bahraich,3
balaghat,balaghat,balaghat,4
seoni,seoni,balaghat,1
balangir,balangir,balangir,1
balasore,balasore,balasore,
ballia,ballia,ballia,6
balrampur,balrampur,balrampur,1
bangalore rural,bangalore rural,bangalore rural,126
jigani,Bangalore Urban,bangalore rural,5
ramanagara,ramanagara,bangalore rural,2
bangalore urban,bangalore urban,bangalore south,380
north 24 parganas,north 24 parganas,bangaon,38
bankura,bankura,bankura,12
"banswada, banswara","banswada, banswara",banswara,7
bhattiprolu,guntur,bapatla,1
chirala,Prakasam,bapatla,2
barabanki,barabanki,barabanki,270
jejuri,pune,baramati,1
uri,baramulla,baramulla,1
durgapur,Paschim Bardhaman,BARDHAMAN-DURGAPUR,4
bardhaman,bardhaman,bardhman purba,47
banskopa,bardhaman,Bardhman-durgapur,5
tapi,tapi,bardoli,2
bareilly,bareilly,bareilly,16
barmer,barmer,barmer,3
jaisalmer,jaisalmer,barmer,39
barpeta,barpeta,barpeta,11
dantewada,dantewada,bastar,4
basti,basti,basti,1
bathinda,bathinda,bathinda,3
beed,beed,beed,5
parlli part,beed,beed,1
begusarai,begusarai,begusarai,2
belgaum,belgaum,belagavi,36
bellary,bellary,bellary,19
donimalai township,Bellary,bellary,2
toranagallu,Bellary,bellary,3
sindhigan,ganjam,berhampur,1
betul,betul,betul,1
hutt,hutt,betul,1
bhagalpur,bhagalpur,bhagalpur,10
bhandara,bhandara,Bhandara-gondiya,11
mohadi,bhandara,Bhandara-gondiya,2
bharatpur,bharatpur,bharatpur,1
ankleshwar,bharuch,bharuch,28
bharuch,bharuch,bharuch,475
dahej,Bharuch,bharuch,6
panoli,Bharuch,bharuch,1
bhavnagar,bhavnagar,bhavnagar,28
bhilwara,bhilwara,bhilwara,8
bhind,bhind,bhind,12
ghirongi,Bhind,bhind,1
malanpur,bhind,bhind,1
