census_code,id,dist_name,id(ours),dist_name(ors),,,,seperated from
532,3601,Adilabad,532,Adilabad,Adilabad,Adilabad,2,
146,915,Agra,146,Agra,Agra,Agra,23,
474,2407,Ahmedabad,474,Ahmadabad,Ahmedabad,Ahmedabad,368,
522,2726,Ahmednagar,522,Ahmadnagar,Ahmednagar,Ahmednagar,21,
283,1503,Aizawl,283,Aizawl,Aizawl,Aizawl,0,
119,821,Ajmer,119,Ajmer,Ajmer,Ajmer,14,
501,2705,Akola,501,Akola,Akola,Akola,5,
598,3211,Alappuzha,598,Alappuzha,Alappuzha,Alappuzha,10,
143,912,Aligarh,143,Aligarh,Aligarh,Aligarh,8,
175,944,Allahabad,175,Allahabad ,Allahabad,Allahabad,275,
64,509,Almora,64,Almora,Almora,Almora,0,
104,806,Alwar,104,Alwar,Alwar,Alwar,117,
70,602,Ambala,70,Ambala,Ambala,Ambala,1,
178,947,Ambedkar Nagar,178,Ambedkar Nagar,Ambedkar Nagar,Ambedkar Nagar,8,
503,2707,Amravati,503,Amravati,Amravati,Amravati,7,
480,2413,Amreli,480,Amreli,Amreli,Amreli,6,
49,315,Amritsar,49,Amritsar,Amritsar,Amritsar,6,Tarn Taran
137,906,Amroha,137,amroha/jyotibha phule nagar,Amroha,Amroha,6,
482,2415,Anand,482,Anand,Anand,Anand,23,
553,3712,Anantapuram,553,Anantapur,Anantapuram,Anantapur,46,
14,114,Anantnag,14,Anantnag,Anantnag,Anantnag,0,"Kulgam, Shupiyan"
384,2115,Angul,384,Anugul,Angul,Angul,28,
209,1007,Araria,209,Araria,,Araria,0,
616,3315,Ariyalur,616,Ariyalur  ,Ariyalur,Ariyalur,5,
241,1038,Arwal,240,Arwal,,Asoj,10,
162,931,Auraiya,162,Auraiya,Auraiya,Auraiya,7,
235,1033,Aurangabad,235,Aurangabad,Aurangabad,Aurangabad,0,
515,2719,Aurangabad,515,Aurangabad,,Aurangabad,127,
191,960,Azamgarh,191,Azamgarh,Azamgarh,Azamgarh,0,
149,918,Badaun,149,Badaun,,Badaun,5,
556,2902,Bagalkot,556,Bagalkot ,Bagalkot,Bagalkot ,0,
63,508,Bageshwar,63,Bageshwar,,Bageshwar,0,
139,908,Bagpat,139,Baghpat,Bagpat,Baghpat,0,
180,949,Bahraich,180,Bahraich,Bahraich,Bahraich,3,
457,2340,Balaghat,457,Balaghat,Balaghat,Balaghat,4,
393,2124,Balangir,393,Balangir,,Balangir,1,
377,2108,Balasore,377,Baleshwar,Balasore,Balasore,6,
193,962,Ballia,193,Ballia,Ballia,Ballia,1,
182,951,Balrampur,182,Balrampur,Balrampur,Balrampur,2,
469,2402,Banaskantha,469,Banas Kantha,Banaskantha,Banaskantha,4,
170,939,Banda,170,Banda,,Banda,0,
583,2929,Bangalore Rural,583,Bangalore Rural,Bangalore Rural,Bangalore Rural,35,Ramanagara
572,2918,Bangalore Urban,572,Bangalore,Bangalore Urban,Bangalore Urban,583,
225,1023,Banka,225,Banka,Banka,Banka,0,
