,company,CIN,Constituency,state,district,Party,Winning Candidate,LokSabha_Ministry,LokSabha_MinCode,rs_min_name,rs_min_ministry,ministriesInfluenced,buss_sector,amount
0,UNITED BREWERIES LIMITED,L36999KA1999PLC025195,VIZIANAGARAM,ANDHRA PRADESH,SRIKAKULAM,Telugu Desam,Ashok Gajapathi Raju Pusapati,['Civil Aviation'],[36.0],[],[],"[4, 9, 11, 13, 16, 20, 21, 24, 27, 31, 32, 33, 36, 50]",Manufacturing (Others),"2,100,000.00"
1,NTPC LIMITED,L40101DL1975GOI007966,PATALIPUTRA,BIHAR,PATNA,Bharatiya Janta Party,Ram Kripal Yadav,['Drinking Water and Sanitation'],[51.0],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","17,400,000.00"
2,HSBC INVESTDIRECT FINANCIAL SERVICES (INDIA) LIMITED,U67190MH1996PLC097473,MUNGER,BIHAR,PATNA,Lok Jan Shakti Party,Veena Devi,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 20, 21, 24, 32]",Finance,"4,100,000.00"
3,HSBC INVESTDIRECT FINANCIAL SERVICES (INDIA) LIMITED,U67190MH1996PLC097473,PATALIPUTRA,BIHAR,PATNA,Bharatiya Janta Party,Ram Kripal Yadav,['Drinking Water and Sanitation'],[51.0],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 20, 21, 24, 32]",Finance,"4,100,000.00"
4,HSBC INVESTDIRECT FINANCIAL SERVICES (INDIA) LIMITED,U67190MH1996PLC097473,PATNA SAHIB,BIHAR,PATNA,Bharatiya Janta Party,Shatrughana Sinha,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 20, 21, 24, 32]",Finance,"4,100,000.00"
5,POWER GRID CORPORATION OF INDIA LIMITED,L40101DL1989GOI038121,PATALIPUTRA,BIHAR,PATNA,Bharatiya Janta Party,Ram Kripal Yadav,['Drinking Water and Sanitation'],[51.0],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","1,000,000.00"
6,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED,U66010DL2007PLC248825,MUNGER,BIHAR,PATNA,Lok Jan Shakti Party,Veena Devi,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[1, 8, 16, 20, 21, 24, 32]",Insurance,"500,000.00"
7,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED,U66010DL2007PLC248825,PATALIPUTRA,BIHAR,PATNA,Bharatiya Janta Party,Ram Kripal Yadav,['Drinking Water and Sanitation'],[51.0],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[1, 8, 16, 20, 21, 24, 32]",Insurance,"500,000.00"
8,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED,U66010DL2007PLC248825,PATNA SAHIB,BIHAR,PATNA,Bharatiya Janta Party,Shatrughana Sinha,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[1, 8, 16, 20, 21, 24, 32]",Insurance,"500,000.00"
9,IDBI BANK LIMITED,L65190MH2004GOI148838,MUNGER,BIHAR,PATNA,Lok Jan Shakti Party,Veena Devi,[],[],"['Ravi Shankar Prasad', 'Dharmendra Pradhan']","[32, 30]","[16, 20, 21, 24, 32]",Finance,"400,000.00"
