d.name,count(r)
Sangareddy,1
Jodhpur,11
Tiruchirappalli,5
Howrah,79
South Andaman,10
Bulandshahar,29
Barabanki,270
Ramanagara,2
Adilabad,2
Sitapur,12
Ludhiana,60
Narsinghpur,8
Washim,1
Kolar,11
Solapur,34
Chennai,232
Gwalior,2
Hisar,6
Faridabad,191
Sitamarhi,2
Sonbhadra,14
Ambala,1
Mehsana,22
Dhule,15
West Delhi,4
Nashik,205
Sonepat,15
Bilaspur,30
Sabarkatha,3
Jhunjhunu,2
Paschim Bardhaman,10
Thanjavur,5
Ranchi,47
Munger,1
Gautam Buddh Nagar,193
Osmanabad,2
Rewa,3
Seraikela Kharsawan,14
Patan,82
Kaimur,2
Pondicherry,75
Sambhal,4
East Delhi,5
Mandsaur,2
Darrang,2
Agar Malwa,3
Chamoli,14
Jalore,2
Sangrur,6
Kamrup Metropolitan,23
Kullu,4
Khammam,20
Dehradun,104
Kamareddy,1
Amravati,7
Tiruvallur,134
Rayagada,2
Jhansi,2
Udham Singh Nagar,201
Rajkot,20
West Medinipur,29
Mandya,3
Kolhapur,54
Bikaner,2
Ratlam,8
Hassan,17
Rudraprayag,6
Alipurduar,2
Bareilly,16
Ri-Bhoi,1
Barpeta,11
Varanasi,11
Akola,5
Kanchipuram,130
Belagavi,33
Ajmer,13
Porbandar,7
Devbhoomi Dwarka,1
Khargone,9
Amritsar,5
Sundargarh,29
Mysuru,86
Baran,6
Kannur,1
Chikkamagaluru,3
West Godavari,21
Koraput,1
Buldhana,2
Srikakulam,25
Yamuna Nagar,10
Alwar,109
Dharmapuri,4
Ferozepur,8
Jhajjar,17
East Godavari,357
Bokaro,8
Uttarkashi,2
Dewas,15
Sirohi,4
Bhind,12
Cuddalore,10
Chamba,3
Suryapet,2
Samba,8
Etah,1
South Goa,38
Sonitpur,8
Sivasagar,5
Jammu,25
Baloda Bazar,1
Sawai Madhopur,1
East Singhbhum,33
Rohtas,2
Dharwad,23
Thrissur,5
Lohardaga,1
Perambalur,6
Rampur,9
Sultanpur,6
Jabalpur,7
Gaya,3
Karimnagar,29
Erode,19
Jalandhar,24
Kadapa,11
Sahibzada Ajit Singh Nagar,24
Wardha,3
Godda,2
Ernakulam,24
Meerut,13
Balasore,6
Udaipur,12
Madhubani,1
Mewat,2
Cuttack,4
Vellore,27
Tapi,2
Chhindwara,12
Nabarangpur,1
East Sikkim,5
Gir Somnath,1
Raigad,632
Patiala,6
Bharatpur,1
Sangli,10
Palghar,48
South 24 Parganas,16
Mahabubnagar,18
Balrampur,4
Nagaon,1
Jalpaiguri,25
Badaun,5
Nilgiris,2
Dantewada,4
Kushinagar,3
Jorhat,2
Kota,13
Daman,112
North 24 Parganas,38
Angul,28
Kachchh,174
Palwal,63
Sivaganga,4
Bhandara,11
Ballia,1
Pithoragarh,1
Churachandpur,1
Kangra,244
Raigarh,33
Sidhi,1
Supaul,1
Shimla,11
Deoghar,2
East Jaintia Hills,2
Virudhunagar,6
Anantapuram,46
Sambalpur,3
Banswara,7
Goalpara,1
Yadadri Bhuvanagiri,4
Indore,50
Thane,335
