CIN,COMPANY,AMOUNT,DISTRICT
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,300000,AHMEDABAD
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,5000000,BANGALORE URBAN
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,900000,BHARUCH
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,3500000,CHENNAI
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,2500000,DAMAN
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,5000000,DEHRADUN
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,300000,HYDERABAD
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,800000,JEHANABAD
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,8100000,KOLKATA
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,100000,MEERUT
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,200000,NEW DELHI
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,200000,PATNA
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,2600000,RAIGAD
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,800000,RAIGAD
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,500000,RANCHI
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,2400000,SOLAN
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,2000000,VARANASI
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,1100000,WARDHA
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,100000,WAYANAD
L01111DL1993PLC052845,KRBL LIMITED,1000000,NEW DELHI
L01111DL1993PLC052845,KRBL LIMITED,13400000,SANGRUR
L01115TN1956PLC003435,SRI SARVARAYA SUGARS LIMITED,4300000,EAST GODAVARI
L01115TN1956PLC003435,SRI SARVARAYA SUGARS LIMITED,400000,KHAMMAM
L01115TN1956PLC003435,SRI SARVARAYA SUGARS LIMITED,1000000,WEST GODAVARI
L01120AP1986PLC006728,KAVERI SEED COMPANY LTD.,21300000,KARIMNAGAR
L01120AP1986PLC006728,KAVERI SEED COMPANY LTD.,10100000,KARIMNAGAR
L01120AP1986PLC006728,KAVERI SEED COMPANY LTD.,1600000,SIDDIPET
L01120AP1986PLC006728,KAVERI SEED COMPANY LTD.,16200000,WARANGAL URBAN
L01132AS1915PLC000200,B & A LIMITED,2200000,JORHAT
L01132AS1915PLC000200,B & A LIMITED,2300000,JORHAT
L01132AS1977PLC001706,WARREN TEA LIMITED,500000,DIBRUGARH
L01132AS1977PLC001706,WARREN TEA LIMITED,300000,HOWRAH
L01132AS1977PLC001706,WARREN TEA LIMITED,300000,HOWRAH
L01132AS1977PLC001706,WARREN TEA LIMITED,4000000,KOLKATA
L01132TZ1922PLC000234,THE UNITED NILGIRI TEA ESTATES COMPANY LIMITED,2100000,NILGIRIS
L01132TZ1922PLC000234,THE UNITED NILGIRI TEA ESTATES COMPANY LIMITED,1600000,NILGIRIS
