State,District,Area Name,Birth place,Place of enumerationTotalPersons,Total migrantsPersons,%Inbound_Migration
1,1,Kupwara,Total Population,870354,116221,13.3533
1,2,Badgam,Total Population,753745,99781,13.23803
1,3,Leh(Ladakh),Total Population,133487,33924,25.41371
1,4,Kargil,Total Population,140802,20802,14.77394
1,5,Punch,Total Population,476835,65531,13.74291
1,6,Rajouri,Total Population,642415,129877,20.21699
1,7,Kathua,Total Population,616435,205313,33.30651
1,8,Baramula,Total Population,1008039,194162,19.26136
1,9,Bandipore,Total Population,392232,57507,14.66148
1,10,Srinagar,Total Population,1236829,197179,15.9423
1,11,Ganderbal,Total Population,297446,70367,23.65707
1,12,Pulwama,Total Population,560440,115444,20.59882
1,13,Shupiyan,Total Population,266215,50812,19.08683
1,14,Anantnag,Total Population,1078692,181737,16.8479
1,15,Kulgam,Total Population,424483,71785,16.91116
1,16,Doda,Total Population,409936,89825,21.91196
1,17,Ramban,Total Population,283713,46136,16.2615
1,18,Kishtwar,Total Population,230696,30255,13.11466
1,19,Udhampur,Total Population,554985,171132,30.83543
1,20,Reasi,Total Population,314667,68123,21.64924
1,21,Jammu,Total Population,1529958,678213,44.32886
1,22,Samba,Total Population,318898,115503,36.21942
2,23,Chamba,Total Population,519080,160035,30.83051
2,24,Kangra,Total Population,1510075,589935,39.0666
2,25,Lahul & Spiti,Total Population,31564,9906,31.38386
2,26,Kullu,Total Population,437903,151504,34.59762
2,27,Mandi,Total Population,999777,328350,32.84232
2,28,Hamirpur,Total Population,454768,195857,43.06745
2,29,Una,Total Population,521173,204718,39.28024
2,30,Bilaspur,Total Population,381956,143148,37.47762
2,31,Solan,Total Population,580320,258650,44.57024
2,32,Sirmaur,Total Population,529855,177191,33.44141
2,33,Shimla,Total Population,814010,393915,48.39191
2,34,Kinnaur,Total Population,84121,33858,40.24916
3,35,Gurdaspur,Total Population,2298323,858739,37.36372
3,36,Kapurthala,Total Population,815168,411079,50.42875
3,37,Jalandhar,Total Population,2193590,1079124,49.19443
3,38,Hoshiarpur,Total Population,1586625,752838,47.44902
3,39,Shahid Bhagat Singh Nagar,Total Population,612310,324363,52.97366
3,40,Fatehgarh Sahib,Total Population,600163,353009,58.81885
3,41,Ludhiana,Total Population,3498739,2061401,58.9184
3,42,Moga,Total Population,995746,557354,55.97351
3,43,Firozpur,Total Population,2029074,790992,38.98291
3,44,Muktsar,Total Population,901896,390879,43.3397
3,45,Faridkot,Total Population,617508,304868,49.3707
3,46,Bathinda,Total Population,1388525,746639,53.7721
3,47,Mansa,Total Population,769751,401427,52.15024
3,48,Patiala,Total Population,1895686,996552,52.56947
3,49,Amritsar,Total Population,2490656,1020352,40.9672
3,50,Tarn Taran,Total Population,1119627,472317,42.18521
3,51,Rupnagar,Total Population,684627,403842,58.98716
3,52,Sahibzada Ajit Singh Nagar,Total Population,994628,688147,69.18637
3,53,Sangrur,Total Population,1655169,794890,48.0247
3,54,Barnala,Total Population,595527,326804,54.87644
4,55,Chandigarh,Total Population,1055450,678188,64.25582
5,56,Uttarkashi,Total Population,330086,119001,36.05151
5,57,Chamoli,Total Population,391605,159973,40.8506
5,58,Rudraprayag,Total Population,242285,96345,39.76515
5,59,Tehri Garhwal,Total Population,618931,249538,40.31758
5,60,Dehradun,Total Population,1696694,894455,52.71752
5,61,Garhwal,Total Population,687271,318151,46.29193
5,62,Pithoragarh,Total Population,483439,209038,43.23979
5,63,Bageshwar,Total Population,259898,93524,35.98489
5,64,Almora,Total Population,622506,236692,38.02244
5,65,Champawat,Total Population,259648,101596,39.12836
5,66,Nainital,Total Population,954605,451383,47.28479
5,67,Udham Singh Nagar,Total Population,1648902,714252,43.31683
5,68,Hardwar,Total Population,1890422,673506,35.62728
6,69,Panchkula,Total Population,561293,345592,61.57069
6,70,Ambala,Total Population,1128350,499726,44.28821
6,71,Yamunanagar,Total Population,1214205,498307,41.03977
6,72,Kurukshetra,Total Population,964655,420787,43.62047
6,73,Kaithal,Total Population,1074304,398147,37.06093
6,74,Karnal,Total Population,1505324,604177,40.13601
6,75,Panipat,Total Population,1205437,554577,46.0063
6,76,Sonipat,Total Population,1450001,588030,40.55377
6,77,Jind,Total Population,1334152,490182,36.74109
6,78,Fatehabad,Total Population,942011,377867,40.1128
6,79,Sirsa,Total Population,1295189,570094,44.01628
6,80,Hisar,Total Population,1743931,673364,38.61185
6,81,Bhiwani,Total Population,1634445,558826,34.19057
6,82,Rohtak,Total Population,1061204,395123,37.23346
6,83,Jhajjar,Total Population,958405,366378,38.22789
6,84,Mahendragarh,Total Population,922088,335147,36.34653
6,85,Rewari,Total Population,900332,359654,39.94682
6,86,Gurgaon,Total Population,1514432,876624,57.88467
6,87,Mewat,Total Population,1089263,264270,24.26136
6,88,Faridabad,Total Population,1809733,1081663,59.7692
6,89,Palwal,Total Population,1042708,326925,31.35346
7,90,North West,Total Population,3656539,1577576,43.14397
7,91,North,Total Population,887978,304310,34.26999
7,92,North East,Total Population,2241624,871961,38.89863
7,93,East,Total Population,1709346,741857,43.40005
7,94,New Delhi,Total Population,142004,85875,60.47365
7,95,Central,Total Population,582320,122328,21.00701
7,96,West,Total Population,2543243,1000955,39.35743
7,97,South West,Total Population,2292958,1185214,51.6893
7,98,South,Total Population,2731929,1334438,48.846
8,99,Ganganagar,Total Population,1969168,963322,48.92025
8,100,Hanumangarh,Total Population,1774692,725683,40.89064
8,101,Bikaner,Total Population,2363937,720630,30.48431
8,102,Churu,Total Population,2039547,585143,28.68985
8,103,Jhunjhunun,Total Population,2137045,715173,33.46551
8,104,Alwar,Total Population,3674179,1197592,32.59482
8,105,Bharatpur,Total Population,2548462,714601,28.04048
8,106,Dhaulpur,Total Population,1206516,346907,28.75279
8,107,Karauli,Total Population,1458248,420200,28.8154
8,108,Sawai Madhopur,Total Population,1335551,401129,30.03472
8,109,Dausa,Total Population,1634409,472108,28.88555
8,110,Jaipur,Total Population,6626178,2253336,34.00657
8,111,Sikar,Total Population,2677333,821707,30.69125
8,112,Nagaur,Total Population,3307743,1000300,30.24116
8,113,Jodhpur,Total Population,3687165,1053755,28.579
8,114,Jaisalmer,Total Population,669919,195866,29.23727
8,115,Barmer,Total Population,2603751,663717,25.4908
8,116,Jalor,Total Population,1828730,520975,28.48835
8,117,Sirohi,Total Population,1036346,321506,31.02304
8,118,Pali,Total Population,2037573,676970,33.22433
8,119,Ajmer,Total Population,2583052,800585,30.99376
8,120,Tonk,Total Population,1421326,431219,30.3392
8,121,Bundi,Total Population,1110906,400307,36.03428
8,122,Bhilwara,Total Population,2408523,852154,35.38077
8,123,Rajsamand,Total Population,1156597,396841,34.31109
8,124,Dungarpur,Total Population,1388552,453175,32.63652
8,125,Banswara,Total Population,1797485,526336,29.2818
8,126,Chittaurgarh,Total Population,1544338,583542,37.7859
8,127,Kota,Total Population,1951014,742741,38.06949
8,128,Baran,Total Population,1222755,409450,33.48586
8,129,Jhalawar,Total Population,1411129,485497,34.40486
8,130,Udaipur,Total Population,3068420,949890,30.95697
8,131,Pratapgarh,Total Population,867848,269125,31.01061
9,132,Saharanpur,Total Population,3466382,930988,26.85763
9,133,Muzaffarnagar,Total Population,4143512,1161469,28.03103
9,134,Bijnor,Total Population,3682713,865866,23.51163
9,135,Moradabad,Total Population,4772006,1106012,23.17709
9,136,Rampur,Total Population,2335819,490595,21.00313
9,137,Jyotiba Phule Nagar,Total Population,1840221,434312,23.60108
9,138,Meerut,Total Population,3443689,1197216,34.76551
9,139,Baghpat,Total Population,1303048,352917,27.08396
9,140,Ghaziabad,Total Population,4681645,2423947,51.77554
9,141,Gautam Buddha Nagar,Total Population,1648115,848470,51.48124
9,142,Bulandshahr,Total Population,3499171,961176,27.46868
9,143,Aligarh,Total Population,3673889,1119225,30.46431
9,144,Mahamaya Nagar,Total Population,1564708,421536,26.94023
9,145,Mathura,Total Population,2547184,823035,32.31156
9,146,Agra,Total Population,4418797,1324168,29.96671
9,147,Firozabad,Total Population,2498156,746651,29.88809
9,148,Mainpuri,Total Population,1868529,501121,26.81901
9,149,Budaun,Total Population,3681896,818012,22.21714
9,150,Bareilly,Total Population,4448359,1154125,25.94496
9,151,Pilibhit,Total Population,2031007,507796,25.00218
9,152,Shahjahanpur,Total Population,3006538,748473,24.89485
9,153,Kheri,Total Population,4021243,1090599,27.12094
9,154,Sitapur,Total Population,4483992,1182024,26.36097
9,155,Hardoi,Total Population,4092845,925804,22.62006
9,156,Unnao,Total Population,3108367,906396,29.15988
9,157,Lucknow,Total Population,4589838,1851848,40.3467
9,158,Rae Bareli,Total Population,3405559,946486,27.79238
9,159,Farrukhabad,Total Population,1885204,489438,25.96207
9,160,Kannauj,Total Population,1656616,412480,24.89895
9,161,Etawah,Total Population,1581810,492784,31.15317
9,162,Auraiya,Total Population,1379545,405514,29.39476
9,163,Kanpur Dehat,Total Population,1796184,495926,27.60998
9,164,Kanpur Nagar,Total Population,4581268,1338424,29.21514
9,165,Jalaun,Total Population,1689974,537240,31.78984
9,166,Jhansi,Total Population,1998603,661711,33.10868
9,167,Lalitpur,Total Population,1221592,357670,29.27901
9,168,Hamirpur,Total Population,1104285,315374,28.55911
9,169,Mahoba,Total Population,875958,260698,29.76147
9,170,Banda,Total Population,1799410,477181,26.51875
9,171,Chitrakoot,Total Population,991730,251141,25.32353
9,172,Fatehpur,Total Population,2632733,687436,26.11112
9,173,Pratapgarh,Total Population,3209141,859280,26.77601
9,174,Kaushambi,Total Population,1599596,421202,26.33177
9,175,Allahabad,Total Population,5954391,1729353,29.04332
9,176,Bara Banki,Total Population,3260699,813390,24.94526
9,177,Faizabad,Total Population,2470996,682044,27.60199
9,178,Ambedkar Nagar,Total Population,2397888,614103,25.61016
9,179,Sultanpur,Total Population,3797117,1062637,27.98536
9,180,Bahraich,Total Population,3487731,841353,24.12322
9,181,Shrawasti,Total Population,1117361,294490,26.35585
9,182,Balrampur,Total Population,2148665,505036,23.50464
9,183,Gonda,Total Population,3433919,914351,26.62704
9,184,Siddharthnagar,Total Population,2559297,622333,24.31656
9,185,Basti,Total Population,2464464,640186,25.97668
9,186,Sant Kabir Nagar,Total Population,1715183,438634,25.5736
9,187,Mahrajganj,Total Population,2684703,695011,25.88782
9,188,Gorakhpur,Total Population,4440895,1273679,28.68068
9,189,Kushinagar,Total Population,3564544,931042,26.11953
9,190,Deoria,Total Population,3100946,862517,27.81464
9,191,Azamgarh,Total Population,4613913,1219687,26.43498
9,192,Mau,Total Population,2205968,545733,24.73894
9,193,Ballia,Total Population,3239774,927433,28.62647
9,194,Jaunpur,Total Population,4494204,1258743,28.00814
9,195,Ghazipur,Total Population,3620268,968892,26.76299
9,196,Chandauli,Total Population,1952756,561809,28.77006
9,197,Varanasi,Total Population,3676841,1200983,32.66345
9,198,Sant Ravidas Nagar (Bhadohi),Total Population,1578213,425054,26.93261
9,199,Mirzapur,Total Population,2496970,676304,27.08499
9,200,Sonbhadra,Total Population,1862559,592083,31.78868
9,201,Etah,Total Population,1774480,499249,28.13495
9,202,Kanshiram Nagar,Total Population,1436719,352188,24.51335
10,203,Pashchim Champaran,Total Population,3935042,992018,25.20985
10,204,Purba Champaran,Total Population,5099371,1249887,24.51061
10,205,Sheohar,Total Population,656246,84994,12.95155
10,206,Sitamarhi,Total Population,3423574,852953,24.91411
10,207,Madhubani,Total Population,4487379,1143850,25.49038
10,208,Supaul,Total Population,2229076,575469,25.81648
10,209,Araria,Total Population,2811569,615698,21.89873
10,210,Kishanganj,Total Population,1690400,352376,20.84572
10,211,Purnia,Total Population,3264619,763104,23.37498
10,212,Katihar,Total Population,3071029,698710,22.75166
10,213,Madhepura,Total Population,2001762,490529,24.50486
10,214,Saharsa,Total Population,1900661,488683,25.71121
10,215,Darbhanga,Total Population,3937385,863089,21.92036
