CIN,COMPNAME,PPNAME,CC
U48985WB1992PLC095301,GREAT EASTERN ENERGY CORPORATION LIMITED,All India Trinamool Congress,1
L27101WB2002PLC094979,ANKIT METAL & POWER LIMITED,All India Trinamool Congress,1
L29261WB1998PLC087404,TEXMACO RAIL & ENGINEERING LIMITED,All India Trinamool Congress,1
U70109WB1987PTC042664,GANGAUR PROPERTIES PVT LTD,All India Trinamool Congress,1
U93000WB2014NPL199537,PARIBARTAN ELECTORAL TRUST,All India Trinamool Congress,1
L15492WB1916PLC002697,DHUNSERI PETROCHEM AND TEA LIMITED,All India Trinamool Congress,1
L15491WB1997PLC082808,DHUNSERI INVESTMENTS LIMITED,All India Trinamool Congress,1
L15500WB1997PLC085661,DHUNSERI TEA & INDUSTRIES LIMITED,All India Trinamool Congress,2
L26941GJ1956PLC000840,SAURASHTRA CEMENT LIMITED,Bharatiya Janta Party,1
U55101GJ1992PTC017507,KESHAV HOLIDAY RESORT PVT LTD,Bharatiya Janta Party,1
U55101GA2012PTC006932,VISION DEMPO HOSPITALITY AND ESTATES PRIVATE LIMITED,Bharatiya Janta Party,1
U28129MH1986PLC040194,SUNRISE CONTAINERS LIMITED,Bharatiya Janta Party,1
U24230TG1993PLC015582,HETERO DRUGS LIMITED,Bharatiya Janta Party,1
L01111KA1988PLC008861,SUNIL AGRO FOODS LIMITED,Bharatiya Janta Party,1
U45201GJ2008PTC053361,VIBHUTI ORGANISERS PRIVATE LIMITED,Bharatiya Janta Party,1
U65990MH2005PLC154505,MANGAL KESHAV SECURITIES LIMITED,Bharatiya Janta Party,1
U40100TN2011PTC080251,AAVANTI SOLAR ENERGY PRIVATE LIMITED,Bharatiya Janta Party,1
U45203WB2006PTC107278,PRIYAM INFRASTRUCTURE PVT LTD,Bharatiya Janta Party,1
U70102WB2013PTC196622,PND INFRASTRUCTURE PRIVATE LIMITED,Bharatiya Janta Party,1
U74899DL1978PTC008998,USHA PLAST PACKAGING PRIVATE LIMITED,Bharatiya Janta Party,1
U28999GJ1996PTC029188,TRANSPEK-SILOX INDUSTRY PRIVATE LIMITED,Bharatiya Janta Party,1
