PPNAME,POLNAME,CIN,COMPNAME
All India Trinamool Congress,ali mohammad,U55101DL1952PLC002161,HOTEL AND RESTAURANT ASSOCIATION OF NORTHERN INDIA ..
All India Trinamool Congress,ali mohammad,U55101DL1952PLC002161,HOTEL AND RESTAURANT ASSOCIATION OF NORTHERN INDIA ..
Bahujan Samaj Party,Rahim Khan,U67120MH1982PLC027051,UP TOWN TRADING AND INVESTMENTS LTD
Bharatiya Bahujan Party,Sita Devi,L74140WB1994PLC065937,N G INDUSTRIES LTD
Bharatiya Janta Party,shatrughan singh chauhan,U62100DL1992GOI048581,AIR INDIA LIMITED
Bharatiya Janta Party,shatrughan singh chauhan,U80904DL2011NPL224204,INTERGLOBE EDUCATION FOUNDATION
Bharatiya Janta Party,shatrughan singh chauhan,U74900DL2012PTC231352,CAE SIMULATION TRAINING PRIVATE LIMITED
Bharatiya Janta Party,shatrughan singh chauhan,U62100DL1992GOI048582,INDIAN AIRLINES LIMITED
Bharatiya Janta Party,shatrughan singh chauhan,U62100DL1992GOI048581,AIR INDIA LIMITED
Bharatiya Janta Party,Kalyan Singh,U45201DL2005PTC135478,DELANCO REAL ESTATE PRIVATE LIMITED
Bharatiya Janta Party,Kalyan Singh,U45201DL2005PTC135478,DELANCO REAL ESTATE PRIVATE LIMITED
Bharatiya Janta Party,Kalyan Singh,U45201DL2005PTC135478,DELANCO REAL ESTATE PRIVATE LIMITED
Bharatiya Janta Party,Jagadish Shettar,U92120MH2007PTC175061,S-2 GLOBAL PRODUCTIONS PRIVATE LIMITED
Bharatiya Janta Party,Jagadish Shettar,U45400MH2012PTC232464,GROUPCO DEVELOPERS PRIVATE LIMITED
Bharatiya Janta Party,Jagadish Shettar,U92412MH2013PTC246547,ALL STARS FOOTBALL CLUB PRIVATE LIMITED
Bharatiya Janta Party,Jagadish Shettar,U45200MH2010PTC205327,KUNDRA CONSTRUCTIONS PRIVATE LIMITED
Bharatiya Janta Party,Jagadish Shettar,U72200MH2013PTC243218,INTERACTIVE GAMES PRIVATE LIMITED
Bharatiya Janta Party,Jagadish Shettar,U51909MH2006PTC163826,ESSENTIAL BULK COMMODITIES PRIVATE LIMITED
Bharatiya Janta Party,Jagadish Shettar,U85190MH2008PTC186590,IOSIS SPA AND WELLNESS PRIVATE LIMITED
Bharatiya Janta Party,Jagadish Shettar,U70200MH2012PTC230772,GROUP HOME BUYERS PRIVATE LIMITED
Bharatiya Janta Party,Jagadish Shettar,U74900MH2010PTC210175,ICONIC INVESTMENTS PRIVATE LIMITED
Bharatiya Janta Party,Jagadish Shettar,L52399WB1982PLC035375,VIAAN INDUSTRIES LIMITED
Bharatiya Janta Party,Jagadish Shettar,U92120MH2014PTC260211,BEST DEAL TV PRIVATE LIMITED
Biju Janata Dal,Sidhant Mohapatra,U74899DL1991PTC044438,GOGIA CHEMICAL INDUSTRIES PRIVATE LIMITED
Biju Janata Dal,Sidhant Mohapatra,U74899DL1991PTC044438,GOGIA CHEMICAL INDUSTRIES PRIVATE LIMITED
All India Dravida Munnetra Kazhagam,Kanimozhi,U45209MH2006PTC166097,PERFECT SPACECON PRIVATE LIMITED
All India Dravida Munnetra Kazhagam,Kanimozhi,U70101MH2006PTC192622,ALLIANZ INFRATECH PRIVATE LIMITED
Dravida Munnetra Kazhagam,Kanimozhi,L70200MH2007PLC166818,D B REALTY LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,U92199TN2000PTC046116,HFO ENTERTAINMENT PRIVATE LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,U92490TN1999PTC043057,D M S ENTERTAINMENT PRIVATE LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,U92131TN2005PLC057987,SOUTH ASIA FM LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,U93000TN2009PTC072668,KAL MEDIA SERVICES PRIVATE LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,U65991TN1992PTC023459,KAL INVESTMENTS (MADRAS) PRIVATE LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,U65991TN1991PTC021710,KUNGUMAM NITHIYAGAM PRIVATE LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,U22121TN1978PTC007428,KUNGUMAM PUBLICATIONS PRIVATE LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,L22110TN1985PLC012491,SUN TV NETWORK LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,U92131TN2005PLC057987,SOUTH ASIA FM LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,U93000TN2009PTC072668,KAL MEDIA SERVICES PRIVATE LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,U65991TN1992PTC023459,KAL INVESTMENTS (MADRAS) PRIVATE LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,U65991TN1991PTC021710,KUNGUMAM NITHIYAGAM PRIVATE LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,U22121TN1978PTC007428,KUNGUMAM PUBLICATIONS PRIVATE LIMITED
Dravida Munnetra Kazhagam,dayanidhi maran,L22110TN1985PLC012491,SUN TV NETWORK LIMITED
Indian National Congress,naveen jindal,U74999KA2016NPL095481,INVEST KARNATAKA FORUM
Indian National Congress,naveen jindal,U72200KA2006PLC040034,JSOFT SOLUTIONS LIMITED
Indian National Congress,naveen jindal,U27106MH2007PLC170160,JSW BENGAL STEEL LIMITED
Indian National Congress,naveen jindal,L74999MH1994PLC077041,JSW ENERGY LIMITED
Indian National Congress,naveen jindal,L67120MH2001PLC217751,JSW HOLDINGS LIMITED
Indian National Congress,naveen jindal,L27106MH1984PLC238266,JSW ISPAT STEEL LIMITED
Indian National Congress,naveen jindal,L27102MH1994PLC152925,JSW STEEL LIMITED
Indian National Congress,naveen jindal,L22210MH1987PLC044505,TCPL PACKAGING LIMITED
Indian National Congress,naveen jindal,U93000DL2013GAT262918,PRJ FAMILY MANAGEMENT COMPANY PRIVATE LIMITED
Indian National Congress,naveen jindal,U74899DL1995PTC074107,NALWA FARMS PRIVATE LIMITED
Indian National Congress,naveen jindal,U74900UP2007PLC069247,JINDAL ITF LIMITED
Indian National Congress,naveen jindal,U74999DL2004PLC128194,IUP JINDAL METALS & ALLOYS LIMITED
Indian National Congress,naveen jindal,U74899DL1988PLC033588,JINDAL INTELLICOM LIMITED
Indian National Congress,naveen jindal,U65997DL2006PLC145999,VRINDAVAN FINTRADE LIMITED
Indian National Congress,naveen jindal,U65993GJ2006PTC071733,JINDAL MANSAROVER INVESTMENTS PRIVATE LIMITED
Indian National Congress,naveen jindal,U65993GJ2006PTC071734,JINDAL SOUTH WEST FINANCE INVESTMENTS PRIVATE LIMITED
Indian National Congress,naveen jindal,U65993GJ2006PTC071735,STAINLESS FINANCE AND INVESTMENT PRIVATE LIMITED
Indian National Congress,naveen jindal,U65993GJ2006PTC071736,SUN FINTRADE PRIVATE LIMITED
Indian National Congress,naveen jindal,U65993GJ2006PTC072170,HISAR FINCAP PRIVATE LIMITED
Indian National Congress,naveen jindal,U65993DL2006PLC146007,SALASAR FINVEST LIMITED
Indian National Congress,naveen jindal,U65993DL2006PLC145961,OPJ INVESTMENTS AND HOLDINGS LIMITED
Indian National Congress,naveen jindal,U65923DL2006PLC145962,NALWA FINCAP LIMITED
Indian National Congress,naveen jindal,U51909GJ2014PTC078485,DANTA ENTERPRISES PRIVATE LIMITED
Indian National Congress,naveen jindal,U15491WB1983PLC036898,SONABHEEL TEA LTD.
Indian National Congress,naveen jindal,L51101UP2010PLC042382,HEXA TRADEX LIMITED
Indian National Congress,naveen jindal,L27104UP1984PLC023979,JINDAL SAW LIMITED
Indian National Congress,naveen jindal,U28113HR2014PLC053875,JINDAL UNITED STEEL LIMITED
Indian National Congress,naveen jindal,U25207HR1972PTC006005,JINDAL INDUSTRIES PRIVATE LIMITED
Indian National Congress,naveen jindal,U45208HR2005PLC035921,OM PROJECT CONSULTANTS AND ENGINEERS LIMITED
Indian National Congress,naveen jindal,U23101HR2014PLC053884,JINDAL COKE LIMITED
Indian National Congress,naveen jindal,L27205HR2013PLC049963,JINDAL STAINLESS (HISAR) LIMITED
Indian National Congress,naveen jindal,U74899DL1995PTC074107,NALWA FARMS PRIVATE LIMITED
Indian National Congress,naveen jindal,U65993DL2006PLC145961,OPJ INVESTMENTS AND HOLDINGS LIMITED
Indian National Congress,naveen jindal,U65923DL2008PLC177707,NALWA FINANCIAL SERVICES LIMITED
Indian National Congress,naveen jindal,U65923DL2006PLC145962,NALWA FINCAP LIMITED
Indian National Congress,naveen jindal,U25207HR1971PTC006005,JINDAL INDUSTRIES PRIVATE LIMITED
Indian National Congress,naveen jindal,U25207HR1971PLC006005,JINDAL INDUSTRIES LIMITED
Indian National Congress,naveen jindal,U15491WB1983PLC036898,SONABHEEL TEA LTD.
Indian National Congress,naveen jindal,L27105HR1979PLC009913,JINDAL STEEL AND POWER LIMITED
Indian National Congress,naveen jindal,L26922HR1980PLC010901,JINDAL STAINLESS LIMITED
Indian National Congress,naveen jindal,L24222WB1902PLC001540,SHALIMAR PAINTS LTD
Indian National Congress,naveen jindal,U51900MH1946PTC013532,GOPAL TRADERS PRIVATE LIMITED
Indian National Congress,naveen jindal,U15200MH2008PTC186594,VASIND FARM & DAIRY PRODUCTS PRIVATE LIMITED
Indian National Congress,naveen jindal,U74999MH2014PTC253122,JSW IP HOLDINGS PRIVATE LIMITED
Indian National Congress,naveen jindal,U99999MH2006NPL159749,ASIA SOCIETY INDIA CENTRE
Indian National Congress,naveen jindal,U92100MH2008PTC186594,JSW IMAGINEERING PRIVATE LIMITED
Indian National Congress,naveen jindal,U74994MH2006PTC159118,PORTFOLIO FASHIONS PRIVATE LIMITED
Indian National Congress,naveen jindal,U74999MH2014NPL260102,WORLD MONUMENTS FUND INDIA ASSOCIATION
Indian National Congress,naveen jindal,U72200KA2006PLC040034,JSOFT SOLUTIONS LIMITED
Indian National Congress,naveen jindal,U51909MH1993PTC240089,REYNOLD TRADERS PRIVATE LIMITED TFR. FROM MUMBAI TO DELHI
Indian National Congress,naveen jindal,U45202MH2010PTC204697,REALCOM REALITY PRIVATE LIMITED
Indian National Congress,naveen jindal,U45200MH2005PTC152218,WINDSOR RESIDENCY PRIVATE LIMITED
Indian National Congress,naveen jindal,U25207HR1972PTC006005,JINDAL INDUSTRIES PRIVATE LIMITED
Indian National Congress,naveen jindal,U70101GJ1971PLC073499,ROHIT TOWER BUILDING LTD
Indian National Congress,naveen jindal,U25207HR1971PTC006005,JINDAL INDUSTRIES PRIVATE LIMITED
Indian National Congress,naveen jindal,U25207HR1971PLC006005,JINDAL INDUSTRIES LIMITED
Indian National Congress,naveen jindal,U15491WB1983PLC036898,SONABHEEL TEA LTD.
Indian National Congress,pratibha singh,U74999DL2010NPL210686,YOUNG INDIAN
Indian National Congress,pratibha singh,U74999HP2015NPL001036,HIMACHAL PRADESH KAUSHAL VIKAS NIGAM
Indian National Congress,pratibha singh,U63040HP1972SGC003163,HIMACHAL PRADESH TOURISM DEVELOPMENT CORP LIMITED
Indian National Congress,M Veerappa Moily,U74900KA2005PTC037446,MOKSHA-YUG ACCESS INDIA PRIVATE LIMITED
Indian National Congress,Y.S. Jagan Mohan Reddy,U22212TG2006PLC051651,JAGATI PUBLICATIONS LIMITED
Indian National Congress,naveen jindal,U74999KA2016NPL095481,INVEST KARNATAKA FORUM
Indian National Congress,naveen jindal,U72200KA2006PLC040034,JSOFT SOLUTIONS LIMITED
Indian National Congress,naveen jindal,U27106MH2007PLC170160,JSW BENGAL STEEL LIMITED
Indian National Congress,naveen jindal,L74999MH1994PLC077041,JSW ENERGY LIMITED
Indian National Congress,naveen jindal,L67120MH2001PLC217751,JSW HOLDINGS LIMITED
Indian National Congress,naveen jindal,L27106MH1984PLC238266,JSW ISPAT STEEL LIMITED
Indian National Congress,naveen jindal,L27102MH1994PLC152925,JSW STEEL LIMITED
Indian National Congress,naveen jindal,L22210MH1987PLC044505,TCPL PACKAGING LIMITED
Indian National Congress,naveen jindal,U93000DL2013GAT262918,PRJ FAMILY MANAGEMENT COMPANY PRIVATE LIMITED
Indian National Congress,naveen jindal,U74899DL1995PTC074107,NALWA FARMS PRIVATE LIMITED
Indian National Congress,naveen jindal,U74900UP2007PLC069247,JINDAL ITF LIMITED
Indian National Congress,naveen jindal,U74999DL2004PLC128194,IUP JINDAL METALS & ALLOYS LIMITED
Indian National Congress,naveen jindal,U74899DL1988PLC033588,JINDAL INTELLICOM LIMITED
Indian National Congress,naveen jindal,U65997DL2006PLC145999,VRINDAVAN FINTRADE LIMITED
Indian National Congress,naveen jindal,U65993GJ2006PTC071733,JINDAL MANSAROVER INVESTMENTS PRIVATE LIMITED
Indian National Congress,naveen jindal,U65993GJ2006PTC071734,JINDAL SOUTH WEST FINANCE INVESTMENTS PRIVATE LIMITED
Indian National Congress,naveen jindal,U65993GJ2006PTC071735,STAINLESS FINANCE AND INVESTMENT PRIVATE LIMITED
Indian National Congress,naveen jindal,U65993GJ2006PTC071736,SUN FINTRADE PRIVATE LIMITED
Indian National Congress,naveen jindal,U65993GJ2006PTC072170,HISAR FINCAP PRIVATE LIMITED
Indian National Congress,naveen jindal,U65993DL2006PLC146007,SALASAR FINVEST LIMITED
Indian National Congress,naveen jindal,U65993DL2006PLC145961,OPJ INVESTMENTS AND HOLDINGS LIMITED
Indian National Congress,naveen jindal,U65923DL2006PLC145962,NALWA FINCAP LIMITED
Indian National Congress,naveen jindal,U51909GJ2014PTC078485,DANTA ENTERPRISES PRIVATE LIMITED
Indian National Congress,naveen jindal,U15491WB1983PLC036898,SONABHEEL TEA LTD.
Indian National Congress,naveen jindal,L51101UP2010PLC042382,HEXA TRADEX LIMITED
Indian National Congress,naveen jindal,L27104UP1984PLC023979,JINDAL SAW LIMITED
Indian National Congress,naveen jindal,U28113HR2014PLC053875,JINDAL UNITED STEEL LIMITED
Indian National Congress,naveen jindal,U25207HR1972PTC006005,JINDAL INDUSTRIES PRIVATE LIMITED
Indian National Congress,naveen jindal,U45208HR2005PLC035921,OM PROJECT CONSULTANTS AND ENGINEERS LIMITED
Indian National Congress,naveen jindal,U23101HR2014PLC053884,JINDAL COKE LIMITED
Indian National Congress,naveen jindal,L27205HR2013PLC049963,JINDAL STAINLESS (HISAR) LIMITED
Indian National Congress,naveen jindal,U74899DL1995PTC074107,NALWA FARMS PRIVATE LIMITED
Indian National Congress,naveen jindal,U65993DL2006PLC145961,OPJ INVESTMENTS AND HOLDINGS LIMITED
Indian National Congress,naveen jindal,U65923DL2008PLC177707,NALWA FINANCIAL SERVICES LIMITED
Indian National Congress,naveen jindal,U65923DL2006PLC145962,NALWA FINCAP LIMITED
Indian National Congress,naveen jindal,U25207HR1971PTC006005,JINDAL INDUSTRIES PRIVATE LIMITED
Indian National Congress,naveen jindal,U25207HR1971PLC006005,JINDAL INDUSTRIES LIMITED
Indian National Congress,naveen jindal,U15491WB1983PLC036898,SONABHEEL TEA LTD.
Indian National Congress,naveen jindal,L27105HR1979PLC009913,JINDAL STEEL AND POWER LIMITED
Indian National Congress,naveen jindal,L26922HR1980PLC010901,JINDAL STAINLESS LIMITED
Indian National Congress,naveen jindal,L24222WB1902PLC001540,SHALIMAR PAINTS LTD
Indian National Congress,naveen jindal,U51900MH1946PTC013532,GOPAL TRADERS PRIVATE LIMITED
Indian National Congress,naveen jindal,U15200MH2008PTC186594,VASIND FARM & DAIRY PRODUCTS PRIVATE LIMITED
Indian National Congress,naveen jindal,U74999MH2014PTC253122,JSW IP HOLDINGS PRIVATE LIMITED
Indian National Congress,naveen jindal,U99999MH2006NPL159749,ASIA SOCIETY INDIA CENTRE
Indian National Congress,naveen jindal,U92100MH2008PTC186594,JSW IMAGINEERING PRIVATE LIMITED
Indian National Congress,naveen jindal,U74994MH2006PTC159118,PORTFOLIO FASHIONS PRIVATE LIMITED
Indian National Congress,naveen jindal,U74999MH2014NPL260102,WORLD MONUMENTS FUND INDIA ASSOCIATION
