CIN,COMPANY NAME,AREA,BU%,RUE%,DISTRICT,State,Constituency,Type,Margin,isMPMinister,centerAlignment,stateAlignment,not_aligned,rs_min_mplad_district,is_backward,non_backward,ministry_comp_intersection,ADI,AmountFinal,FactoriesFinal,csrAmountInvested
L17119GJ1995PLC025007,MINAXI TEXTILES LTD,2,7.620041753653441,99.0646766169154,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
L17119GJ1995PLC025007,MINAXI TEXTILES LTD,5,-2.6579670329670297,61.1490532448616,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
L17119GJ1995PLC025007,MINAXI TEXTILES LTD,10,-0.46528867613542296,39.0674177251965,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
U25202MP1997PTC011973,NAVNEET IMPEX PRIVATE LIMITED,2,4.719645018152481,100,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
U25202MP1997PTC011973,NAVNEET IMPEX PRIVATE LIMITED,5,39.3777345649003,81.3244478784367,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
U25202MP1997PTC011973,NAVNEET IMPEX PRIVATE LIMITED,10,-0.9524974765240269,53.6951361789436,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
U17120GJ2011PTC066160,ARVIND PD COMPOSITES PRIVATE LIMITED,2,1.27272727272727,100,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
U17120GJ2011PTC066160,ARVIND PD COMPOSITES PRIVATE LIMITED,5,2.43596099818212,99.469111969112,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
U17120GJ2011PTC066160,ARVIND PD COMPOSITES PRIVATE LIMITED,10,6.20111926031492,84.6433817002114,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
U17120GJ2011PTC066160,ARVIND PD COMPOSITES PRIVATE LIMITED,2,1.27272727272727,100,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
U17120GJ2011PTC066160,ARVIND PD COMPOSITES PRIVATE LIMITED,5,2.43596099818212,99.469111969112,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
U17120GJ2011PTC066160,ARVIND PD COMPOSITES PRIVATE LIMITED,10,6.20111926031492,84.6433817002114,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
U17120GJ2011PTC066160,ARVIND PD COMPOSITES PRIVATE LIMITED,2,1.27272727272727,100,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
U17120GJ2011PTC066160,ARVIND PD COMPOSITES PRIVATE LIMITED,5,2.43596099818212,99.469111969112,gandhinagar,GUJARAT,GANDHINAGAR,GEN,42.5,0,1,1,0,0,0,1,0,18,971400000,96,0
