,Unnamed: 0,Constituency,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr
0,0,ADILABAD,TELANGANA,ST,16.4,0.0,0,1,0,1,0,150000000,0,0,2,0.0
1,1,AGRA,UTTAR PRADESH,SC,28.1,1.0,1,0,0,0,0,1090000000,1,0,17,3.0
2,2,AHMEDABAD EAST,GUJARAT,GEN,33.1,0.0,1,1,0,0,0,90030000000,1,0,444,36.0
3,3,AHMEDABAD WEST,GUJARAT,SC,33.2,0.0,1,1,0,0,0,88400000000,1,0,357,34.0
4,4,AHMEDNAGAR,MAHARASHTRA,GEN,19.7,0.0,1,1,0,0,0,1370000000,1,0,36,0.0
5,5,AJMER,RAJASTHAN,GEN,14.9,1.0,1,1,0,0,1,45260000000,1,0,155,15.0
6,6,AKBARPUR,UTTAR PRADESH,GEN,28.7,0.0,1,0,0,0,0,4440000000,1,0,22,3.0
7,7,AKOLA,MAHARASHTRA,GEN,20.8,0.0,1,1,0,0,0,80000000,1,0,6,0.0
8,8,ALAPPUZHA,KERALA,GEN,1.9,0.0,0,1,0,0,0,3480000000,1,0,10,1.0
9,9,ALATHUR,KERALA,SC,4.0,0.0,0,0,0,0,0,6860000000,1,1,20,2.0
10,10,ALIGARH,UTTAR PRADESH,GEN,26.9,0.0,1,0,0,0,0,800000000,1,0,8,0.0
11,11,ALIPURDUARS,WEST BENGAL,ST,1.7,0.0,0,1,0,0,0,950000000,1,0,27,0.0
12,12,ALLAHABAD,UTTAR PRADESH,GEN,7.0,0.0,1,0,0,0,0,630000000,1,0,0,0.0
13,13,ALMORA,UTTARAKHAND,SC,14.6,0.0,1,0,0,0,0,200000000,1,0,2,0.0
14,14,ALWAR,RAJASTHAN,GEN,26.7,0.0,1,1,0,0,0,9160000000,1,0,109,5.0
15,15,AMALAPURAM,ANDHRA PRADESH,SC,10.8,0.0,1,1,0,0,0,2350000000,1,0,357,3.0
16,16,AMBALA,HARYANA,SC,27.9,0.0,1,1,0,0,0,2030000000,1,0,36,0.0
17,17,AMBEDKAR NAGAR,UTTAR PRADESH,GEN,13.5,0.0,1,0,0,0,0,1840000000,1,0,8,0.0
18,18,AMETHI,UTTAR PRADESH,GEN,12.3,0.0,0,0,0,0,0,5060000000,1,1,19,1.0
19,19,AMRAVATI,MAHARASHTRA,SC,13.7,0.0,1,1,0,0,0,1300000000,1,0,7,0.0
20,20,AMRELI,GUJARAT,GEN,19.3,0.0,1,1,0,0,0,2990000000,1,0,34,2.0
21,21,AMRITSAR,PUNJAB,GEN,10.2,0.0,0,0,0,0,0,1320000000,1,1,5,0.0
22,22,AMROHA,UTTAR PRADESH,GEN,14.4,0.0,1,0,1,0,0,840000000,1,0,139,4.0
23,23,ANAKAPALLE,ANDHRA PRADESH,GEN,4.2,0.0,1,1,0,1,0,30420000000,0,0,114,6.0
24,24,ANAND,GUJARAT,GEN,6.5,0.0,1,1,1,0,1,3070000000,1,0,23,4.0
25,25,ANANDPUR SAHIB,PUNJAB,GEN,2.2,0.0,1,1,0,0,0,3300000000,1,0,147,1.0
26,26,ANANTAPUR,ANDHRA PRADESH,GEN,5.1,0.0,1,1,0,0,0,19390000000,1,0,46,0.0
27,27,ANANTNAG,JAMMU AND KASHMIR,GEN,17.4,0.0,0,0,0,0,0,1030000000,1,1,0,0.0
28,28,ANDAMAN AND NICOBAR,ANDAMAN AND NICOBAR,GEN,4.1,0.0,1,0,0,0,0,0,1,0,10,0.0
29,29,AONLA,UTTAR PRADESH,GEN,13.9,0.0,1,0,0,0,0,250000000,1,0,21,0.0
30,30,ARAKKONAM,TAMIL NADU,GEN,22.1,0.0,0,1,0,0,0,216100000000,1,0,161,2.0
31,31,ARAKU,ANDHRA PRADESH,ST,10.0,0.0,0,0,0,1,0,38740000000,0,1,518,11.0
32,32,ARAMBAG,WEST BENGAL,SC,25.5,0.0,0,1,0,0,0,760000000,1,0,57,0.0
