,Unnamed: 0,Constituency,AmountFinal,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr,ADI,FactoriesFinal
0,0,ADILABAD,2700000,TELANGANA,ST,16.4,0,0,1,0,1,0,150000000,0,0,2,0,13,2
1,1,AGRA,82300000,UTTAR PRADESH,SC,28.1,1,1,0,0,0,0,1090000000,1,0,17,3,12,16
2,2,AHMEDABAD EAST,2183400000,GUJARAT,GEN,33.1,0,1,1,0,0,0,90030000000,1,0,444,36,18,175
3,3,AHMEDABAD WEST,1884000000,GUJARAT,SC,33.2,0,1,1,0,0,0,88400000000,1,0,357,34,18,187
4,4,AHMEDNAGAR,110500000,MAHARASHTRA,GEN,19.7,0,1,1,0,0,0,1370000000,1,0,36,0,13,21
5,5,AJMER,726900000,RAJASTHAN,GEN,14.9,1,1,1,0,0,1,45260000000,1,0,155,15,17,14
6,6,AKBARPUR,44400000,UTTAR PRADESH,GEN,28.7,0,1,0,0,0,0,4440000000,1,0,22,3,14,0
7,7,AKOLA,38500000,MAHARASHTRA,GEN,20.8,0,1,1,0,0,0,80000000,1,0,6,0,12,5
8,8,ALAPPUZHA,42100000,KERALA,GEN,1.9,0,0,1,0,0,0,3480000000,1,0,10,1,15,10
9,9,ALATHUR,68600000,KERALA,SC,4,0,0,0,0,0,0,6860000000,1,1,20,2,16,0
10,10,ALIGARH,33200000,UTTAR PRADESH,GEN,26.9,0,1,0,0,0,0,800000000,1,0,8,0,13,9
11,11,ALIPURDUARS,18500000,WEST BENGAL,ST,1.7,0,0,1,0,0,0,950000000,1,0,27,0,10,2
12,12,ALLAHABAD,224200000,UTTAR PRADESH,GEN,7,0,1,0,0,0,0,630000000,1,0,0,0,12,275
13,13,ALMORA,8800000,UTTARAKHAND,SC,14.6,0,1,0,0,0,0,200000000,1,0,2,0,15,2
14,14,ALWAR,497100000,RAJASTHAN,GEN,26.7,0,1,1,0,0,0,9160000000,1,0,109,5,13,110
15,15,AMALAPURAM,23500000,ANDHRA PRADESH,SC,10.8,0,1,1,0,0,0,2350000000,1,0,357,3,15,357
