ADI,ADI_Normalized,AmountFinal,AmountFinal_Normalized,Constituency,FactoriesFinal,FactoriesFinal_Normalized,Margin %,Margin%_Normalized,Total,Totalcsr,Type,amount,centerAlignment,isMPMinister,is_backward,ministry_comp_intersection,non_backward,not_aligned,rs_min_mplad_district,state,stateAlignment
13,0.5454545454545454,2700000,0.0004772763430025985,ADILABAD,2,0.002554278416347382,16.4,0.29181494661921703,2,0.0,ST,150000000,0,0,1,0,0,0,0,TELANGANA,1
12,0.45454545454545453,82300000,0.01454809001078291,AGRA,16,0.020434227330779056,28.1,0.5,17,3.0,SC,1090000000,1,1,0,0,1,0,0,UTTAR PRADESH,0
18,1.0,2183400000,0.385957469374768,AHMEDABAD EAST,175,0.22349936143039592,33.1,0.5889679715302492,444,36.0,GEN,90030000000,1,0,0,0,1,0,0,GUJARAT,1
18,1.0,1884000000,0.3330328260062576,AHMEDABAD WEST,187,0.2388250319284802,33.2,0.5907473309608541,357,34.0,SC,88400000000,1,0,0,0,1,0,0,GUJARAT,1
13,0.5454545454545454,110500000,0.01953297625992116,AHMEDNAGAR,21,0.02681992337164751,19.7,0.3505338078291815,36,0.0,GEN,1370000000,1,0,0,0,1,0,0,MAHARASHTRA,1
17,0.9090909090909091,726900000,0.12849339767725512,AJMER,14,0.017879948914431672,14.9,0.26512455516014233,155,15.0,GEN,45260000000,1,1,0,1,1,0,0,RAJASTHAN,1
14,0.6363636363636364,44400000,0.007848544307153841,AKBARPUR,0,0.0,28.7,0.5106761565836299,22,3.0,GEN,4440000000,1,0,0,0,1,0,0,UTTAR PRADESH,0
12,0.45454545454545453,38500000,0.006805607113185201,AKOLA,5,0.006385696040868455,20.8,0.3701067615658363,6,0.0,GEN,80000000,1,0,0,0,1,0,0,MAHARASHTRA,1
15,0.7272727272727273,42100000,0.0074419755705219985,ALAPPUZHA,10,0.01277139208173691,1.9,0.03380782918149466,10,1.0,GEN,3480000000,0,0,0,0,1,0,0,KERALA,1
16,0.8181818181818182,68600000,0.01212635449258454,ALATHUR,0,0.0,4.0,0.07117437722419928,20,2.0,SC,6860000000,0,0,0,0,1,1,0,KERALA,0
13,0.5454545454545454,33200000,0.0058687313287726925,ALIGARH,9,0.011494252873563218,26.9,0.47864768683274017,8,0.0,GEN,800000000,1,0,0,0,1,0,0,UTTAR PRADESH,0
10,0.2727272727272727,18500000,0.003270226794647434,ALIPURDUARS,2,0.002554278416347382,1.7,0.030249110320284694,27,0.0,ST,950000000,0,0,0,0,1,0,0,WEST BENGAL,1
12,0.45454545454545453,224200000,0.039631613370808366,ALLAHABAD,275,0.351213282247765,7.0,0.12455516014234874,0,0.0,GEN,630000000,1,0,0,0,1,0,0,UTTAR PRADESH,0
15,0.7272727272727273,8800000,0.0015555673401566174,ALMORA,2,0.002554278416347382,14.6,0.2597864768683274,2,0.0,SC,200000000,1,0,0,0,1,0,0,UTTARAKHAND,0
13,0.5454545454545454,497100000,0.0878718778172562,ALWAR,110,0.140485312899106,26.7,0.4750889679715302,109,5.0,GEN,9160000000,1,0,0,0,1,0,0,RAJASTHAN,1
15,0.7272727272727273,23500000,0.004154071874281876,AMALAPURAM,357,0.4559386973180077,10.8,0.19217081850533807,357,3.0,SC,2350000000,1,0,0,0,1,0,0,ANDHRA PRADESH,1
18,1.0,97600000,0.0172526559544643,AMBALA,44,0.0561941251596424,27.9,0.49644128113879,36,0.0,SC,2030000000,1,0,0,0,1,0,0,HARYANA,1
11,0.36363636363636365,18400000,0.003252549893054745,AMBEDKAR NAGAR,8,0.010217113665389528,13.5,0.24021352313167257,8,0.0,GEN,1840000000,1,0,0,0,1,0,0,UTTAR PRADESH,0
10,0.2727272727272727,169100000,0.029891640593236818,AMETHI,1,0.001277139208173691,12.3,0.2188612099644128,19,1.0,GEN,5060000000,0,0,0,0,1,1,0,UTTAR PRADESH,0
17,0.9090909090909091,47900000,0.008467235862897951,AMRAVATI,7,0.008939974457215836,13.7,0.24377224199288253,7,0.0,SC,1300000000,1,0,0,0,1,0,0,MAHARASHTRA,1
16,0.8181818181818182,31200000,0.005515193296918916,AMRELI,12,0.01532567049808429,19.3,0.34341637010676157,34,2.0,GEN,2990000000,1,0,0,0,1,0,0,GUJARAT,1
17,0.9090909090909091,41800000,0.007388944865743932,AMRITSAR,5,0.006385696040868455,10.2,0.18149466192170816,5,0.0,GEN,1320000000,0,0,0,0,1,1,0,PUNJAB,0
13,0.5454545454545454,18700000,0.0033055805978328117,AMROHA,6,0.007662835249042145,14.4,0.25622775800711745,139,4.0,GEN,840000000,1,0,0,0,1,0,1,UTTAR PRADESH,0
16,0.8181818181818182,304200000,0.05377313464495943,ANAKAPALLE,1,0.001277139208173691,4.2,0.07473309608540925,114,6.0,GEN,30420000000,1,0,1,0,0,0,0,ANDHRA PRADESH,1
15,0.7272727272727273,96400000,0.017040533135352035,ANAND,23,0.02937420178799489,6.5,0.11565836298932383,23,4.0,GEN,3070000000,1,0,0,1,1,0,1,GUJARAT,1
18,1.0,43400000,0.007671775291226954,ANANDPUR SAHIB,121,0.1545338441890166,2.2,0.03914590747330961,147,1.0,GEN,3300000000,1,0,0,0,1,0,0,PUNJAB,1
14,0.6363636363636364,278500000,0.049230170935638404,ANANTAPUR,46,0.05874840357598978,5.1,0.09074733096085408,46,0.0,GEN,19390000000,1,0,0,0,1,0,0,ANDHRA PRADESH,1
13,0.5454545454545454,26400000,0.004666702020469852,ANANTNAG,0,0.0,17.4,0.30960854092526685,0,0.0,GEN,1030000000,0,0,0,0,1,1,0,JAMMU AND KASHMIR,0
16,0.8181818181818182,0,0.0,ANDAMAN AND NICOBAR,10,0.01277139208173691,4.1,0.07295373665480426,10,0.0,GEN,0,1,0,0,0,1,0,0,ANDAMAN AND NICOBAR,0
9,0.18181818181818182,2500000,0.00044192253981722085,AONLA,0,0.0,13.9,0.2473309608540925,21,0.0,GEN,250000000,1,0,0,0,1,0,0,UTTAR PRADESH,0
18,1.0,2161000000,0.3819978434180057,ARAKKONAM,0,0.0,22.1,0.3932384341637011,161,2.0,GEN,216100000000,0,0,0,0,1,0,0,TAMIL NADU,1
14,0.6363636363636364,387400000,0.06848031677007654,ARAKU,1,0.001277139208173691,10.0,0.1779359430604982,518,11.0,ST,38740000000,0,0,1,0,0,1,0,ANDHRA PRADESH,0
16,0.8181818181818182,7600000,0.0013434445210443514,ARAMBAG,0,0.0,25.5,0.45373665480427045,57,0.0,SC,760000000,0,0,0,0,1,0,0,WEST BENGAL,1
14,0.6363636363636364,3500000,0.0006186915557441091,ARANI,0,0.0,22.2,0.395017793594306,19,0.0,GEN,350000000,0,0,0,0,1,0,0,TAMIL NADU,1
8,0.09090909090909091,0,0.0,ARARIA,0,0.0,15.0,0.2669039145907473,0,0.0,GEN,0,0,0,1,0,0,1,0,BIHAR,0
9,0.18181818181818182,0,0.0,ARRAH,0,0.0,15.2,0.27046263345195726,0,0.0,GEN,0,1,0,0,0,1,0,0,BIHAR,1
13,0.5454545454545454,3700000,0.0006540453589294868,ARUNACHAL EAST,0,0.0,4.8,0.08540925266903913,0,0.0,GEN,80000000,0,0,1,0,0,1,0,ARUNACHAL PRADESH,0
13,0.5454545454545454,16700000,0.002952042565979035,ARUNACHAL WEST,2,0.002554278416347382,12.4,0.22064056939501778,0,0.0,GEN,780000000,1,1,0,0,1,0,0,ARUNACHAL PRADESH,1
