District,Backward,Amount,Total,Totalcsr
Adilabad,1,3400000,2,0
Agar Malwa,0,0,3,0
Agra,0,73400000,16,3
Ahmedabad,0,2863700000,357,34
Ahmednagar,0,51600000,21,0
Aizawl,0,3800000,0,0
Ajmer,0,542000000,13,2
Akola,0,32700000,5,0
Alappuzha,0,40400000,10,1
Aligarh,0,10700000,8,0
Alipurduar,0,10100000,2,0
Alirajpur,0,0,0,0
Allahabad,0,210200000,0,0
Almora,0,6500000,0,0
Alwar,0,416400000,109,5
Ambala,0,6800000,1,0
Ambedkar Nagar,0,17700000,8,0
Amethi,0,134900000,1,0
Amravati,0,42200000,7,0
Amreli,0,8400000,5,1
Amritsar,0,33300000,5,0
Amroha,0,10300000,6,1
Anand,0,100900000,23,4
Anantapur,0,184300000,46,0
Anantnag,0,8900000,0,0
Angul,0,295400000,28,1
Anjaw,0,0,0,0
Anuppur,0,3600000,1,0
Araria,1,0,0,0
Aravalli,0,4100000,0,0
Ariyalur,0,0,5,0
Arwal,0,0,0,0
Ashoknagar,0,0,0,0
Auraiya,0,25600000,7,1
Aurangabad,1,1335900000,246,10
Aurangabad,0,0,0,0
Azamgarh,0,500000,0,0
Bagalkot,0,9800000,0,0
Bageshwar,0,7800000,0,0
Baghpat,0,0,0,0
Bahraich,1,200000,3,0
Baksa,1,21000000,0,0
Balaghat,0,3500000,4,0
Balangir,1,0,1,0
Balasore,0,20600000,6,1
Ballia,0,3300000,1,0
Balod,0,0,0,0
Baloda Bazar,0,0,1,0
Balrampur,0,0,0,0
Balrampur,1,5700000,4,0
Banaskantha,0,15400000,2,0
Banda,0,0,0,0
Bandipore,0,0,0,0
Bangalore Rural,0,2402200000,113,8
Bangalore Urban,0,887000000,389,9
Banka,1,1400000,0,0
Bankura,0,14700000,12,0
Banswara,0,35700000,7,1
Barabanki,0,93200000,270,0
Baramulla,1,8900000,0,0
Baran,0,50200000,6,2
Bareilly,0,3700000,16,0
Bargarh,0,700000,0,0
Barmer,1,302800000,3,0
Barnala,0,38900000,189,1
Barpeta,1,56300000,11,0
Barwani,1,3200000,0,0
Bastar,1,64200000,0,0
Basti,0,13000000,1,0
Bathinda,0,12000000,3,0
Beed,0,21400000,5,0
Begusarai,1,51100000,2,0
Belgaum,0,3000000,33,1
Bellary,0,99700000,20,2
Bemetara,0,0,0,0
Betul,0,38600000,1,0
Bhadohi,0,0,0,0
Bhadradri Kothagudem,0,0,0,0
Bhadrak,0,11900000,0,0
Bhagalpur,0,2100000,10,0
Bhandara,0,15300000,11,1
Bharatpur,0,19700000,1,0
Bharuch,0,298800000,488,9
Bhavnagar,0,68400000,29,1
Bhilwara,0,154600000,8,2
Bhind,0,99200000,12,0
Bhiwani,0,28600000,3,1
Bhojpur,0,0,0,0
Bhopal,0,177700000,32,4
Bidar,0,9000000,2,1
Bijapur,1,0,0,0
Bijapur,0,54700000,0,0
Bijnor,0,5600000,7,0
Bikaner,0,53500000,2,0
Bilaspur,0,0,0,0
Bilaspur,0,121500000,30,1
Birbhum,1,6700000,0,0
Bishnupur,0,9200000,0,0
Biswanath,0,0,0,0
Bokaro,1,13100000,8,0
Bongaigaon,0,212800000,0,0
Botad,0,200000,0,0
Boudh,0,0,0,0
Budaun,0,0,5,0
Budgam,0,0,0,0
Bulandshahr,0,39600000,29,0
Buldhana,0,10200000,2,0
Bundi,0,1300000,0,0
Burhanpur,0,0,0,0
Buxar,0,2500000,2,1
Cachar,0,2500000,0,0
Central Delhi,0,120200000,81,5
Chamarajanagar,0,3700000,0,0
Chamba,1,5600000,3,0
Chamoli,0,104000000,14,0
Champawat,0,0,1,0
Champhai,0,0,0,0
Chandauli,1,0,0,0
Chandel,1,0,0,0
Chandigarh,0,142900000,83,2
Chandrapur,0,40000000,18,2
Changlang,0,1300000,0,0
Charaideo,0,0,0,0
Charkhi Dadri,0,0,0,0
Chatra,1,0,4,0
Chennai,0,3279800000,232,58
Chhatarpur,1,15100000,1,0
Chhindwara,0,9000000,12,0
Chhota Udaipur,0,0,0,0
Chikkamagaluru,0,4500000,3,0
Chikkballapur,0,0,18,0
Chirang,0,400000,0,0
Chitradurga,0,83900000,42,2
Chitrakoot,1,0,0,0
Chittoor,0,143300000,46,4
Chittorgarh,0,97400000,29,0
Churachandpur,0,0,0,0
Churu,0,14700000,1,0
