,District,State,LokSabhaConstituency,Constituency,No,Type,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,PartyShort
0,Nicobar,ANDAMAN AND NICOBAR,ANDAMAN AND NICOBAR,ANDAMAN AND NICOBAR,1.0,GEN,Bishnu Pada Ray,Bharatiya Janta Party,269360.0,190328.0,70.7 %,7812.0,4.1%,BJP
1,North Middle Andaman,ANDAMAN AND NICOBAR,ANDAMAN AND NICOBAR,ANDAMAN AND NICOBAR,1.0,GEN,Bishnu Pada Ray,Bharatiya Janta Party,269360.0,190328.0,70.7 %,7812.0,4.1%,BJP
2,South Andaman,ANDAMAN AND NICOBAR,ANDAMAN AND NICOBAR,ANDAMAN AND NICOBAR,1.0,GEN,Bishnu Pada Ray,Bharatiya Janta Party,269360.0,190328.0,70.7 %,7812.0,4.1%,BJP
3,Anantapur,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR,36.0,GEN,J.C. Divakar Reddi,Telugu Desam,1536912.0,1205054.0,78.4 %,61269.0,5.1%,TDP
4,Anantapur,ANDHRA PRADESH,HINDUPUR,HINDUPUR,37.0,GEN,Kristappa Nimmala,Telugu Desam,1446503.0,1177257.0,81.4 %,97325.0,8.3%,TDP
5,Chittoor,ANDHRA PRADESH,CHITTOOR,CHITTOOR,42.0,SC,Naramalli Sivaprasad,Telugu Desam,1452141.0,1198915.0,82.6 %,44138.0,3.7%,TDP
6,Chittoor,ANDHRA PRADESH,RAJAMPET,RAJAMPET,41.0,GEN,P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1487498.0,1158317.0,77.9 %,174762.0,15.1%,YSRCP
7,Chittoor,ANDHRA PRADESH,TIRUPATI,TIRUPATI,40.0,SC,Varaprasad Rao Velagapalli,Yuvajana Sramika Rythu Congress Party,1574544.0,1213064.0,77.0 %,37425.0,3.1%,YSRCP
8,East Godavari,ANDHRA PRADESH,AMALAPURAM,AMALAPURAM,24.0,SC,Dr Pandula Ravindra Babu,Telugu Desam,1357866.0,1120927.0,82.6 %,120576.0,10.8%,TDP
9,East Godavari,ANDHRA PRADESH,ARAKU,ARAKU,18.0,ST,Kothapalli Geetha,Yuvajana Sramika Rythu Congress Party,1272724.0,909614.0,71.5 %,91398.0,10.0%,YSRCP
10,East Godavari,ANDHRA PRADESH,KAKINADA,KAKINADA,23.0,GEN,Thota Narasimham,Telugu Desam,1418290.0,1099999.0,77.6 %,3431.0,0.3%,TDP
11,East Godavari,ANDHRA PRADESH,RAJAHMUNDRY,RAJAHMUNDRY,25.0,GEN,Murali Mohan Maganti,Telugu Desam,1421288.0,1154381.0,81.2 %,167434.0,14.5%,TDP
12,Guntur,ANDHRA PRADESH,BAPATLA,BAPATLA,32.0,SC,Malyadri Sriram,Telugu Desam,1392965.0,1184634.0,85.0 %,32754.0,2.8%,TDP
13,Guntur,ANDHRA PRADESH,GUNTUR,GUNTUR,30.0,GEN,Jayadev Galla,Telugu Desam,1572016.0,1244926.0,79.2 %,69111.0,5.6%,TD
14,Guntur,ANDHRA PRADESH,NARASARAOPET,NARASARAOPET,31.0,GEN,Sambasiva Rao Rayapati,Telugu Desam,1514861.0,1282058.0,84.6 %,35280.0,2.8%,TDP
15,Krishna,ANDHRA PRADESH,ELURU,ELURU,27.0,GEN,Maganti Venkateswara Rao (BABU),Telugu Desam,1427760.0,1201696.0,84.2 %,101926.0,8.5%,TDP
16,Krishna,ANDHRA PRADESH,MACHILIPATNAM,MACHILIPATNAM,28.0,GEN,Konakalla Narayana Rao,Telugu Desam,1369311.0,1141065.0,83.3 %,81057.0,7.1%,TD
17,Krishna,ANDHRA PRADESH,VIJAYAWADA,VIJAYAWADA,29.0,GEN,Kesineni Srinivas,Telugu Desam,1564513.0,1195075.0,76.4 %,74862.0,6.3%,TDP
18,Kurnool,ANDHRA PRADESH,KURNOOL,KURNOOL,35.0,GEN,Butta Renuka,Yuvajana Sramika Rythu Congress Party,1481807.0,1065732.0,71.9 %,44131.0,4.1%,YSRCP
19,Kurnool,ANDHRA PRADESH,NANDYAL,NANDYAL,34.0,GEN,S.P.Y Reddy,Yuvajana Sramika Rythu Congress Party,1577128.0,1204956.0,76.4 %,105766.0,8.8%,YSRCP
20,Prakasam,ANDHRA PRADESH,BAPATLA,BAPATLA,32.0,SC,Malyadri Sriram,Telugu Desam,1392965.0,1184634.0,85.0 %,32754.0,2.8%,TDP
21,Prakasam,ANDHRA PRADESH,NELLORE,NELLORE,39.0,GEN,Mekapati Rajamohan Reddy,Yuvajana Sramika Rythu Congress Party,1606140.0,1187648.0,73.9 %,13478.0,1.1%,YSRCP
22,Prakasam,ANDHRA PRADESH,ONGOLE,ONGOLE,33.0,GEN,Y.V.Subba Reddy,Yuvajana Sramika Rythu Congress Party,1470483.0,1208225.0,82.2 %,15658.0,1.3%,YSRCP
23,Srikakulam,ANDHRA PRADESH,ARAKU,ARAKU,18.0,ST,Kothapalli Geetha,Yuvajana Sramika Rythu Congress Party,1272724.0,909614.0,71.5 %,91398.0,10.0%,YSRCP
24,Srikakulam,ANDHRA PRADESH,SRIKAKULAM,SRIKAKULAM,19.0,GEN,Rammohan Naidu Kinjarapu,Telugu Desam,1413989.0,1051446.0,74.4 %,127572.0,12.1%,TDP
25,Srikakulam,ANDHRA PRADESH,VIZIANAGARAM,VIZIANAGARAM,20.0,GEN,Ashok Gajapathi Raju Pusapati,Telugu Desam,1404127.0,1120316.0,79.8 %,106911.0,9.5%,TDP
26,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,NELLORE,NELLORE,39.0,GEN,Mekapati Rajamohan Reddy,Yuvajana Sramika Rythu Congress Party,1606140.0,1187648.0,73.9 %,13478.0,1.1%,YSRCP
27,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,TIRUPATI,TIRUPATI,40.0,SC,Varaprasad Rao Velagapalli,Yuvajana Sramika Rythu Congress Party,1574544.0,1213064.0,77.0 %,37425.0,3.1%,YSRCP
28,Visakhapatnam,ANDHRA PRADESH,ANAKAPALLE,ANAKAPALLE,22.0,GEN,Muttamsetti Srinivasa Rao (AVANTHI),Telugu Desam,1401474.0,1148072.0,81.9 %,47932.0,4.2%,TDP
29,Visakhapatnam,ANDHRA PRADESH,ARAKU,ARAKU,18.0,ST,Kothapalli Geetha,Yuvajana Sramika Rythu Congress Party,1272724.0,909614.0,71.5 %,91398.0,10.0%,YSRCP
30,Visakhapatnam,ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM,21.0,GEN,Kambhampati Hari Babu,Bharatiya Janta Party,1723037.0,1163558.0,67.5 %,90488.0,7.8%,BJP
31,Vizianagaram,ANDHRA PRADESH,ARAKU,ARAKU,18.0,ST,Kothapalli Geetha,Yuvajana Sramika Rythu Congress Party,1272724.0,909614.0,71.5 %,91398.0,10.0%,YSRCP
32,Vizianagaram,ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM,21.0,GEN,Kambhampati Hari Babu,Bharatiya Janta Party,1723037.0,1163558.0,67.5 %,90488.0,7.8%,BJP
33,Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM,VIZIANAGARAM,20.0,GEN,Ashok Gajapathi Raju Pusapati,Telugu Desam,1404127.0,1120316.0,79.8 %,106911.0,9.5%,TDP
34,West Godavari,ANDHRA PRADESH,ELURU,ELURU,27.0,GEN,Maganti Venkateswara Rao (BABU),Telugu Desam,1427760.0,1201696.0,84.2 %,101926.0,8.5%,TDP
35,West Godavari,ANDHRA PRADESH,NARSAPURAM,NARSAPURAM,26.0,GEN,Gokaraju Ganga Raju,Bharatiya Janta Party,1325143.0,1088951.0,82.2 %,85351.0,7.8%,BJP
36,West Godavari,ANDHRA PRADESH,RAJAHMUNDRY,RAJAHMUNDRY,25.0,GEN,Murali Mohan Maganti,Telugu Desam,1421288.0,1154381.0,81.2 %,167434.0,14.5%,TDP
