ADI,ADI_Normalized,AmountFinal,AmountFinal_Normalized,Constituency,FactoriesFinal,FactoriesFinal_Normalized,Margin %,Margin%_Normalized,Total,Totalcsr,Type,amount,centerAlignment,isMPMinister,is_backward,ministry_comp_intersection,non_backward,not_aligned,rs_min_mplad_district,state,stateAlignment
16,0.818181818181818,0,0,ANDAMAN AND NICOBAR,10,0.012771392081737,4.1,0.072953736654804,10,0,GEN,0,1,0,0,0,1,0,0,ANDAMAN AND NICOBAR,0
15,0.727272727272727,23500000,0.004154071874282,AMALAPURAM,357,0.455938697318008,10.8,0.192170818505338,357,3,SC,2350000000,1,0,0,0,1,0,0,ANDHRA PRADESH,1
16,0.818181818181818,304200000,0.05377313464496,ANAKAPALLE,1,0.001277139208174,4.2,0.074733096085409,114,6,GEN,30420000000,1,0,1,0,0,0,0,ANDHRA PRADESH,1
14,0.636363636363636,278500000,0.049230170935638,ANANTAPUR,46,0.05874840357599,5.1,0.090747330960854,46,0,GEN,19390000000,1,0,0,0,1,0,0,ANDHRA PRADESH,1
14,0.636363636363636,387400000,0.068480316770077,ARAKU,1,0.001277139208174,10,0.177935943060498,518,11,ST,38740000000,0,0,1,0,0,1,0,ANDHRA PRADESH,0
15,0.727272727272727,60800000,0.010747556168355,BAPATLA,3,0.003831417624521,2.8,0.04982206405694,49,3,SC,6080000000,1,0,0,0,1,0,0,ANDHRA PRADESH,1
14,0.636363636363636,192100000,0.033957327959555,CHITTOOR,48,0.061302681992337,3.7,0.065836298932384,46,4,SC,7470000000,1,0,0,0,1,0,0,ANDHRA PRADESH,1
16,0.818181818181818,110300000,0.019497622456736,ELURU,23,0.029374201787995,8.5,0.151245551601424,48,2,GEN,11030000000,1,0,0,0,1,0,1,ANDHRA PRADESH,1
16,0.818181818181818,189900000,0.033568436124516,GUNTUR,22,0.028097062579821,5.6,0.099644128113879,22,3,GEN,5850000000,1,0,0,0,1,0,0,ANDHRA PRADESH,0
14,0.636363636363636,193900000,0.034275512188224,HINDUPUR,1,0.001277139208174,8.3,0.147686832740214,46,0,GEN,19390000000,1,0,0,0,1,0,0,ANDHRA PRADESH,1
8,0.090909090909091,63700000,0.011260186314543,KADAPA,11,0.014048531289911,15.9,0.282918149466192,11,0,GEN,270000000,0,0,1,0,0,1,0,ANDHRA PRADESH,0
15,0.727272727272727,23500000,0.004154071874282,KAKINADA,1,0.001277139208174,0.3,0.005338078291815,357,3,GEN,2350000000,1,0,0,0,1,0,0,ANDHRA PRADESH,1
15,0.727272727272727,159100000,0.028123950433968,KURNOOL,40,0.051085568326948,4.1,0.072953736654804,37,3,GEN,4190000000,0,0,0,0,1,1,0,ANDHRA PRADESH,0
17,0.909090909090909,67600000,0.011949585476658,MACHILIPATNAM,3,0.003831417624521,7.1,0.126334519572954,27,1,GEN,6760000000,1,0,0,0,1,0,1,ANDHRA PRADESH,0
15,0.727272727272727,41900000,0.007406621767337,NANDYAL,0,0,8.8,0.156583629893238,37,3,GEN,4190000000,0,0,0,0,1,1,0,ANDHRA PRADESH,0
16,0.818181818181818,58500000,0.010340987431723,NARASARAOPET,1,0.001277139208174,2.8,0.04982206405694,22,3,GEN,5850000000,1,0,0,0,1,0,0,ANDHRA PRADESH,1
15,0.727272727272727,42700000,0.007548036980078,NARSAPURAM,0,0,7.8,0.138790035587189,21,1,GEN,4270000000,1,0,0,0,1,0,1,ANDHRA PRADESH,0
14,0.636363636363636,2300000,0.000406568736632,NELLORE,38,0.0485312899106,1.1,0.019572953736655,35,0,GEN,230000000,0,0,0,0,1,1,0,ANDHRA PRADESH,0
14,0.636363636363636,10700000,0.001891428470418,ONGOLE,25,0.031928480204342,1.3,0.023131672597865,27,0,GEN,230000000,0,0,0,0,1,1,0,ANDHRA PRADESH,0
15,0.727272727272727,119800000,0.021176928108041,RAJAHMUNDRY,9,0.011494252873563,14.5,0.258007117437722,378,4,GEN,6620000000,1,0,0,0,1,0,1,ANDHRA PRADESH,1
11,0.363636363636364,77400000,0.013681921832741,RAJAMPET,0,0,15.1,0.268683274021352,57,4,GEN,7740000000,0,0,1,0,0,1,0,ANDHRA PRADESH,0
13,0.545454545454545,165200000,0.029202241431122,SRIKAKULAM,25,0.031928480204342,12.1,0.215302491103203,25,2,GEN,5970000000,1,0,0,0,1,0,0,ANDHRA PRADESH,1
14,0.636363636363636,74700000,0.013204645489739,TIRUPATI,1,0.001277139208174,3.1,0.055160142348755,54,4,SC,7470000000,0,0,0,0,1,1,0,ANDHRA PRADESH,0
17,0.909090909090909,67600000,0.011949585476658,VIJAYAWADA,90,0.114942528735632,6.3,0.112099644128114,27,1,GEN,6760000000,1,0,0,0,1,0,1,ANDHRA PRADESH,1
14,0.636363636363636,563900000,0.099680048081172,VISAKHAPATNAM,122,0.15581098339719,7.8,0.138790035587189,136,6,GEN,30420000000,1,0,1,0,0,0,0,ANDHRA PRADESH,0
13,0.545454545454545,63300000,0.011189478708172,VIZIANAGARAM,22,0.028097062579821,9.5,0.169039145907473,47,2,GEN,5970000000,1,1,1,1,0,0,0,ANDHRA PRADESH,1
13,0.545454545454545,3700000,0.000654045358929,ARUNACHAL EAST,0,0,4.8,0.085409252669039,0,0,GEN,80000000,0,0,1,0,0,1,0,ARUNACHAL PRADESH,0
13,0.545454545454545,16700000,0.002952042565979,ARUNACHAL WEST,2,0.002554278416347,12.4,0.220640569395018,0,0,GEN,780000000,1,1,0,0,1,0,0,ARUNACHAL PRADESH,1
10,0.272727272727273,600000,0.000106061409556,AUTONOMOUS DISTRICT,2,0.002554278416347,4.4,0.078291814946619,1,0,ST,0,0,0,0,0,1,0,0,ASSAM,1
12,0.454545454545455,277800000,0.04910643262449,BARPETA,11,0.014048531289911,3.5,0.062277580071174,11,0,GEN,190000000,0,0,1,0,0,1,0,ASSAM,0
9,0.181818181818182,23800000,0.00420710257906,DHUBRI,1,0.001277139208174,16.8,0.298932384341637,1,0,GEN,0,0,0,1,0,0,1,0,ASSAM,0
13,0.545454545454545,249200000,0.044050838768981,DIBRUGARH,21,0.026819923371648,20.8,0.370106761565836,11,3,GEN,4800000000,1,0,0,0,1,0,0,ASSAM,0
16,0.818181818181818,81800000,0.01445970550282,GAUHATI,108,0.137931034482759,20.9,0.371886120996441,109,0,GEN,2400000000,1,0,1,0,0,0,0,ASSAM,0
15,0.727272727272727,79200000,0.01400010606141,JORHAT,8,0.01021711366539,11,0.195729537366548,7,0,GEN,200000000,1,0,0,0,1,0,0,ASSAM,0
12,0.454545454545455,199600000,0.035283095579007,KALIABOR,3,0.003831417624521,8,0.142348754448399,6,0,GEN,200000000,0,0,0,0,1,0,0,ASSAM,1
9,0.181818181818182,0,0,KARIMGANJ,2,0.002554278416347,11.5,0.204626334519573,1,0,SC,0,0,0,1,0,0,1,0,ASSAM,0
11,0.363636363636364,28000000,0.004949532445953,KOKRAJHAR,6,0.007662835249042,29.1,0.51779359430605,11,0,ST,880000000,0,0,1,0,0,1,0,ASSAM,0
13,0.545454545454545,180100000,0.031836099768433,LAKHIMPUR,3,0.003831417624521,26.3,0.46797153024911,16,3,GEN,16940000000,1,1,0,0,1,0,0,ASSAM,0
13,0.545454545454545,45600000,0.008060667126266,MANGALDOI,9,0.011494252873563,1.9,0.033807829181495,87,0,GEN,4340000000,1,0,1,0,0,0,0,ASSAM,0
9,0.181818181818182,12900000,0.002280320305457,NOWGONG,1,0.001277139208174,11.7,0.208185053380783,1,0,GEN,0,1,0,0,0,1,0,0,ASSAM,0
13,0.545454545454545,2500000,0.000441922539817,SILCHAR,0,0,4.4,0.078291814946619,0,0,GEN,0,0,0,0,0,1,0,0,ASSAM,1
9,0.181818181818182,134200000,0.023722401937389,TEZPUR,8,0.01021711366539,8.8,0.156583629893238,11,0,GEN,12290000000,1,0,0,0,1,0,0,ASSAM,0
